taxon	contains-tRNA-Leu-(trnL),-trnL-trnF-intergenic-spacer-and-tRNA-Phe-(trnF)	psbA-trnH-intergenic-spacer;-may-also-contain-psbA-and-trnH-genes	rpoB	ycf5	cox1	matR	matK	rbcl	ndhF	atpB	rp120-rps12-intergenic-spacer	NAD1	NAD7	rpS14-cob-intergenic-spacer	
Petersianthus africanus	DQ418035							AF077654	DQ388171						
Lecythis prancei	DQ418027							AF077651	DQ388241						
Allantoma lineata	DQ417929							AF077657	DQ388180						
Planchonia valida	AF077642				GU321961			Z80176							
Foetidia asymetrica	AF077637				GU321911			Z80183							
Couratari calycina	DQ417945						JQ626524	JQ626169	DQ388192						
Lecythis chartacea	DQ418013						JQ626570	JQ626228	DQ388209						
Lecythis holcogyne	DQ418016						JQ626539	JQ626217	DQ388236						
Chydenanthus excelsus	DQ417940				GU321959			Z80180	DQ388173						
Eschweilera parviflora	DQ417975						JQ626351	JQ625768	DQ388223						
Eschweilera decolorans	DQ417963						JQ626532	JQ626200	DQ388247						
Eschweilera sagotiana	DQ417979						JQ626521	JQ626158	DQ388249						
Eschweilera micrantha	DQ417970	GQ428723						JQ625767	DQ388248						
Eschweilera praeclara			FJ817202	FJ817282			FJ514775	JQ626109							
Grias cauliflora	DQ417997				GU321907			AF077652	DQ388179						
Careya arborea	DQ924313				GU321960			AF077655	DQ924204	DQ923987					
Couroupita guianensis	DQ417951					AY725890		Z80181	DQ388182	AJ236224					
Barringtonia asiatica	AJ430877				AJ247581	AF420992		AJ247618	AF421044	AY725929					
Barringtonia racemosa	DQ417932				GU321957	AY289672		AF088853	DQ388175						
Eschweilera parvifolia	FJ039218	FJ038975	FJ817212	FJ817280			FJ514771	FJ038085							
Couratari oblongifolia	DQ417949	FJ038966	FJ038311	FJ039440			FJ514751	JQ626050	DQ388197						
Lecythis persistens	FJ039147	FJ038981	FJ038319	FJ039448			FJ514678	JQ626304							
Gustavia superba	DQ418010	GQ982238			GU321908		GQ982005		AJ236257	AJ236222					
Gustavia hexapetala	DQ418004	FJ038977	FJ038317	FJ039445				JQ626207	DQ388205						
Eschweilera congestiflora	DQ417961	FJ038970	FJ817173	FJ817245			FJ514768	JQ626137	DQ388225						
Eschweilera grandiflora	DQ417964	FJ038968	FJ817151	FJ817226			FJ514764	JQ626118	DQ388251						
Lecythis idatimon	DQ418019	FJ038979	FJ817166	FJ817235			FJ514644	JQ625974	DQ388214						
Eschweilera pedicellata	DQ417976	FJ038974	FJ038315	FJ039444			FJ514715	JQ626058	DQ388250						
Eschweilera coriacea	DQ417962	FJ038972	FJ038313	FJ039442			FJ514677	JQ626161	DQ388246						
Eschweilera chartaceifolia	DQ417959	FJ038967	FJ817210	FJ817278			FJ514641	JQ625971	DQ388231						
Eschweilera simiorum	DQ417980	GQ428720	FJ817224	FJ817271			FJ514776	JQ626117	DQ388243						
Eschweilera amazoniciformis	DQ417955	EU049629							DQ388228		EU049632	EU049644	EU049673	EU049688	
Cariniana micrantha	AY172768										AY172752	EU049641	EU049671	EU049686	
Corythophora rimosa	AY172761	AY172779						AF077653			AY172745	EU049650	EU049680	EU049695	
Corythophora alta	AF076774	AY172775							DQ388188		AY172744	EU049652	EU049682	EU049697	
Couratari guianensis	DQ417946						JQ626563	JQ626273	DQ388193		AY172755	EU049639	EU049669	EU049684	
Bertholletia excelsa	DQ417933	AY172783						Z80178	DQ388181		AY172751	EU049642	EU049672	EU049687	
Couratari multiflora	DQ417948	FJ038963					JQ626511	FJ038076	DQ388195		AY172754	EU049640	EU049670	EU049685	
Lecythis poiteaui	DQ418026	GQ428722	FJ038321	FJ039450			FJ514700	JQ626219	DQ388219		EU049634	EU049646	EU049676	EU049691	
Lecythis zabucajo	DQ418029	AY172780	FJ817148	FJ817288			FJ514754		DQ388222		AY172748	EU049648	EU049678	EU049694	
