taxon	trnK	rpoC1	trnL	rpoB	matR	ndhF	trnS(UGA)-trnfM(CAU)-intergenic-spacer	rps16	18S-ribosomal-RNA	atpB	rbcL	unknown	trnH-psbA-intergenic-spacer,-IGS	rpl20-rps12-intergenic-spacer	rbcL-atpB-intergenic-spacer	trnS-trnG-intergenic-spacer	petN-psbM-intergenic-spacer,-IGS	aat	psbM-trnD-intergenic-spacer,-IGS	trnC-petN-intergenic-spacer,-IGS	unknown.1	26S-ribosomal-RNA	rbcL.1	matK	
Chrysophyllum perpulchrum						AY230675																			
Chrysophyllum gonocarpum						AY230672																			
Chrysophyllum ogoouense						AY230673																			
Chrysophyllum lucentifolium											JQ626114														
Chrysophyllum sparsiflorum												DQ021882													
Pouteria lucuma						AY230725																			
Pouteria glomerata											JQ625786														
Pouteria fimbriata											JQ626290														
Pouteria sericea												AY552112													
Pouteria cuspidata											JQ625722														
Pouteria petiolata											JQ626330														
Pouteria juruana						AY230720																			
Pouteria wakere												AY552149													
Pouteria maxima											JQ625853														
Pouteria bangii											JQ626236														
Pouteria pinifolia												AY552111													
Pouteria laevigata											JQ625817														
Pouteria grandis											JQ625857														
Pouteria pullenii												HE860120													
Pouteria egregia											JQ625766														
Pouteria flavilatex											JQ625810														
Capurodendron mandrarense						AY230668																			
Micropholis melinoniana											JQ625737														
Pycnandra paniensis												AY552122													
Leptostylis multiflora												DQ154054													
Synsepalum afzelii						AY230737																			
Synsepalum fleuryanum						AY230740																			
Synsepalum brevipes						AY230738																			
Pradosia cochlearia											JQ626148														
Ecclinusa lanceolata											JQ626320														
Sideroxylon galeatum												AM408073													
Sideroxylon gerrardianum												AM408074													
Burckella oxycarpa											Z83135														
Manilkara sideroxylon												JF913008													
Planchonella anteridifera																					HE860170				
Planchonella lifuana												EF025098													
Planchonella crenata												EF025093													
Planchonella latihila												EF025097													
Planchonella microphylla												DQ154075													
Planchonella cotinifolia																					HE860179				
Planchonella myrsinifolia																					HE860213				
Planchonella povilana												EF025103													
Planchonella rheophytopsis												DQ154082													
Planchonella roseoloba																					HE860218				
Planchonella myrsinodendron											JF738498														
Planchonella leptostylidifolia												DQ154072													
Planchonella rufocostata																					HE860219				
Planchonella contermina												EF025091													
Pichonia calomeris												AY552102													
Pichonia deplanchei																					HE860162				
Pichonia balansae																					HE860159				
Beccariella singuliflora												DQ246699									HE860146				
Beccariella longipetiolata												DQ154045									HE860135				
Beccariella queenslandica												DQ154043									HE860143				
Beccariella crebrifolia												DQ154042									HE860132				
Beccariella novocaledonica												HE860074									HE860141				
Beccariella xerocarpa												DQ154048									HE860149				
Beccariella brownlessiana												DQ154063									HE860131				
Beccariella rubicunda												AY552160									HE860144				
Beccariella lucens												HE860071									HE860137				
Beccariella lasiantha												DQ154044									HE860133				
Beccariella papyracea												DQ154046									HE860142				
Beccariella brevipedicellata												HE860068									HE860130				
Beccariella macrocarpa												DQ154073									HE860138				
Beccariella balansana												HE860066									HE860127				
Chrysophyllum bakhuizenii												HE860076									HE860150				
Chrysophyllum brenesii											JQ594066													JQ589177	
Chrysophyllum wagapense												HE860077									HE860151				
Pouteria durlandii											JQ625896													JQ626374	
Pouteria macropoda									GU476467			DQ499145													
Pouteria luzoniensis												HE860117									HE860238				
Pouteria stellibacca												HE860121									HE860241				
Pouteria cladantha											JQ625930													JQ626414	
Pouteria melanopoda											JQ626254													JQ626483	
Pouteria richardii												HE860069									HE860134				
Pouteria fossicola											GQ981840													GQ982068	
Pouteria izabalensis											JQ594073													JQ589186	
Pouteria wandae												HE860122									HE860242				
Pouteria benai											JQ625991													JQ626432	
Pouteria retinervis											JQ625873													JQ626368	
Pouteria linggensis						AY230721						AY552140													
Pouteria rodriguesiana											JQ625717													JQ626337	
Pouteria cinerea						AY230717						AY552144													
Pouteria malaccensis												HE860119									HE860240				
Pouteria bilocularis		FJ038788									JQ626127														
Pouteria engleri											JQ625875													JQ626369	
Pouteria maclayana												HE860118									HE860239				
Pouteria gillisonii												HE860116									HE860237				
Pouteria jariensis											JQ626111		GQ428716												
Palaquium ferox										AY725928												AY727945			
Palaquium morobense											JF738633												JF738614		
Palaquium warburgianum											JF738641												JF738673		
Sersalisia sessiliflora												DQ154093									HE860247				
Pycnandra blanchonii																EU661461					EU661390				
Pycnandra belepensis												HE860123									HE860243				
Pycnandra schmidii																EU661466					EU661396				
Pycnandra viridiflora												HE860125									HE860245				
Pycnandra griseosepala																EU661480					EU661414				
Pycnandra decandra												HE860124									HE860244				
Labramia mayottensis						AY230690							AM179722												
Pradosia schomburgkiana						AY603781						AY552156													
Xantolis cambodiana						AY603787						AY552155													
Sideroxylon cinereum			JF804930								Z83137														
Krausella patentinervia												HE860078									HE860154				
Manilkara mochisia											JF265514													JF270860	
Planchonella maingayi												HE860102									HE860205				
Planchonella umbonata												DQ154086									HE860233				
Planchonella mindanaensis												HE860103									HE860208				
Planchonella glauca												AY552104									HE860189				
Planchonella crassinervia												DQ154067									HE860180				
Planchonella endlicheri												DQ154068									HE860185				
Planchonella arnhemica												AY552107									HE860171				
Planchonella chartacea												DQ154064									HE860176				
