taxon	RPB2D	chalcone-synthase	RPC1	psbA	similar-to-RNA-polymerase-II;-RPB2	rpoB	rbcL	psbC	26S-large-subunit-ribosomal-RNA	similar-to-NADH-dehydrogenase-1;-coding-region-not-determined;-amplified-using-exonB-and-exonC-primers	nad4	putative-uroporphyrinogen-decarboxylase	putative-eukaryotic-translation-initiation-factor-SUI1	non-transcribed-spacer;-NTS	ANS	CaM	unknown	5.8S-ribosomal-RNA	CaM.1	phyA	trnT	putative-cytosolic-glutathione-reductase	40S-ribosomal-subunit-associated-protein	atp1	nad4.1	trnS-trnG-intergenic-spacer	nad1	28S-ribosomal-RNA	5'-upstream-region-to-trnS-gene	trnD-trnT-intergenic-spacer;-may-contain-other-tRNA-genes	trnT-trnL-intergenic-spacer-region	RPB2I	RPB2I.1	RPB2I.2	ndhF	atpB	trnC	trnD	trnS-trnG-intergenic-spacer.1	CkCS1	trnS-trnfM-intergenic-spacer	Xdh	ppo	trnL	18S-ribosomal-RNA	ndhJ	rps2	rbcL.1	rbcL.2	coxI	waxy	unknown.1	RPC1.1	26S-ribosomal-RNA	atp1.1	matR	atpB-rbcL-intergenic-spacer	putative-CBF/DREB-transcription-factor	RPB2	RPB2.1	RPB2I.3	trnL-trnF-intergenic-spacer;-may-contain-portions-of-the-tRNA-Leu-and-tRNA-Phe-genes	GDH	rps16	rpoB.1	psbA-trnH-intergenic-spacer;-may-also-contain-psbA-and-trnH-genes	unknown.2	rpl32	trnE	rpl16	GLO	matK	unknown.3	trnH-psbA-intergenic-spacer	contains-atpI-gene,-atpI-atpH-spacer-and-atpH-gene	ubiquitin-conjugating-enzyme	matK.1	rpoc1	RBP2I	RPB2.2	RPB2D.1	
Oligarrhena micrantha																																																	U80423								AF155854															AF539985										
Harrimanella stelleriana																		HM182082								HM182085																									HM182063																															
Bejaria subsessilis																																			DQ002370																DQ000596																					DQ002354										
Bejaria infundibula																																			DQ002364																DQ000591																					DQ002348										
Bejaria mathewsii																																			DQ002366																DQ000593																					DQ002350										
Bejaria zamorae																																			DQ002371																DQ000597																					DQ002355										
Bejaria imthurnii																																			DQ002363																DQ000590																					DQ002347										
Bejaria ledifolia																																			DQ002365																DQ000592																					DQ002349										
Pyrenaria shinkoensis																																												AY216581					AF380068																							AF380113										
Actinidia lanceolata														AY325410																														AJ549027					AJ549072																																	
Sprengelia incarnata																																																	U80421								AF155841															GQ392997										
Pleuricospora fimbriolata									AF351929									AF352006																													AF351944																																			
Styphelia cymbulae							JQ667469																																																		AY636044															JQ667202										
Styphelia pancheri							JQ667474																																																		AY636047															JQ667206										
Styphelia viridis																																																	U81798								AF155865															AY005105										
Corema album																		AF519554																															HM849914																							HM850857										
Clethra acuminata							JQ594907											AY190572																										AY190585																																						
Acrothamnus spathaceus							JQ667227																																																		AY372580															JQ667082										
Acrothamnus suaveolens							JQ667230																																																		AY971373															AY372668										
Acrothamnus colensoi							JQ667217																																										L12610								AY372573																									
Leucopogon cordifolius							JQ667309																																																		AF208761															JQ667132										
Leucopogon propinquus							JQ667372																																																		AF208788															JQ667156										
Leucopogon strictus							JQ667424																																																		AF208791															JQ667184										
Leucopogon crassiflorus							JQ667311																																																		AF208763															JQ667134										
Leucopogon crassifolius							JQ667312																																																		AF208764															AY372634										
Leucopogon corynocarpus							JQ667310																																																		AF208762															JQ667133										
Leucopogon cordatus							JQ667307																																																		AF208760															AY372633										
Leucopogon pogonocalyx							JQ667371																																																		AF208787															AY372653										
Leucopogon pendulus							JQ667365																																																		AF208784															JQ667153										
Leucopogon assimilis							JQ667297																																																		AF208757															JQ667126										
Leucopogon lanceolatus							JQ667345																																																		AF208776															AY372642										
Leucopogon virgatus							JQ667428																																																																	JQ667186		JQ310806								
Leucopogon ovalifolius							JQ667358																																																		AF208781															JQ667151										
Leucopogon blepharolepis							JQ667300																																																		AY372571															AY372631										
Leucopogon ericoides							JQ667318																																																		AF208768															AY372637										
Leucopogon gibbosus							JQ667334																																										U79739								AF155863																									
Leucopogon elegans							JQ305864																																																		JQ257003																	JQ310801								
Leucopogon margarodes							JQ667350																																																		AY372574															JQ667147										
Leucopogon cuneifolius																		JF437573																																							AF208765															AY372635										
Leucopogon pluriloculatus							JQ667370																																																		AF208786															AY372652										
Leucopogon cymbiformis							JQ667314																																																		AF208766															AY372636										
Leucopogon oxycedrus							JQ667360																																																		AF208782															AY372648										
Leucopogon juniperinus							JQ667343																																																		AF208775															JQ667145										
Leucopogon plumuliflorus							JQ667369																																																		AF208785															AY372651										
Notopora schomburgkii																		AF382683																	AF419728																																					AF382768										
Rehderodendron kwangtungense																		AF396448																										AF396185																		AF396186																				
Gaultheria tetramera																		JF976445																															JF941726																							JF953857										
Gaultheria forrestii																		FJ010589																	FJ008961																																					FJ010607										
Lysinema ciliatum																																																	U80424								AF155848															AF015639										
Symplocos costata																																				AJ235617						EU264337							Z80192																																	
Symplocos pilosa																		AY336334																																																				AY336425		AY336378										
Symplocos tortuosa																		AY630648																										AY630755																												AY679811										
Symplocos laeteviridis																		AY336330																										AY336486																										AY336423												
Symplocos domingensis																																												AY336437																										AY336391		AY336347										
Symplocos poilanei																		AY336335																										AY336489																												AY336379										
Symplocos tricoccata																		AY336301																										AY336463																										AY336409												
Symplocos tribracteolata																		AY336275																			DQ086361							AY336439																																						
Symplocos kleinii																		AY336267																										AY336432																										AY376902												
Tutcheria hirta																																												AY216578					AF380067																							AF380112										
Ledothamnus sessiliflorus																		GU176624								GU176683																							GU176640																																	
Schima sericans																		HM100441																										HM100608																														HM100540								
Vaccinium smallii																		AF382739																	AF419767																																					AF382816										
Vaccinium caudatifolium																		AF382715																	AF419737																																					AF382797										
Vaccinium membranaceum																		AF419782																	AF419755																																					AF419711										
Vaccinium finisterrae																		AF382723																	AF419748																																					AF382803										
Vaccinium arctostaphylos																		AF419774																	AF419734																																					AF419702										
Vaccinium yatabei																		AF419789																	AF419772																																					AF419718										
Vaccinium retusum																		AF419786																	AF419765																																					AF419715										
Vaccinium cereum																		AF419777																	AF419739																																					AF419705										
Vaccinium praestans																		AF419785																	AF419763																																					AF419714										
Vaccinium deliciosum																		AF419791																	AF419744																																					AF419707										
Vaccinium hirsutum																		AF419780																	AF419751																																					AF419709										
Vaccinium crenatum																		AF382719																	AF419742																																					U89761										
Vaccinium calycinum																		AF419776																	AF419736																																					AF419704										
Vaccinium hirtum																		AF382727																	AF419752																																					AB623169										
Vaccinium filiforme																		AF382722																	AF419747																																					AF382802										
Vaccinium scoparium																		AF419787																	AF419766																																					AF419716										
Vaccinium crassifolium																		AY274580																	AF419741																																					AF382799										
Vaccinium parvifolium																		AF382735																	AF419761																																					AF382813										
Vaccinium bracteatum																																																	HQ427149													AB178623										AB623177										
Vaccinium arboreum																		AY274569																																EU281025					EU280953																											
Vaccinium dentatum																		AF382721																	AF419745																																					AF382801										
Vaccinium cercidifolium																		AF382716																	AF419738																																					U89753										
