Ilex asprella			AY140220	JN407418					AF471595		GQ436367	JN407082		
Ilex nervulosa		FJ394869		FJ394701					AF471678		FJ394630		FJ394772	
Ilex arnhemensis		FJ394805		FJ394660					FJ418155		FJ394590		FJ394732	
Ilex laevigata		FJ394850		FJ394694					AF471657		FJ394623		FJ394765	
Ilex cassine		FJ394812		AJ492667					AF471605		AJ492704		AJ492580	
Ilex cymosa		FJ394825		FJ394675					AF471621		FJ394604		FJ394746	
Ilex oppositifolia		FJ394873		AJ492685					AF471680		AJ492719		AJ492598	
Ilex maingayi		FJ394859		FJ394697					AF471666		FJ394626		FJ394768	
Ilex quercetorum		FJ394882		FJ394709			EU359370				FJ394636		FJ394778	
Ilex georgei		FJ394837		FJ394685					AF471641		FJ394614		FJ394756	
Ilex cyrtura		FJ394826		FJ394676					AF471614		FJ394605		FJ394747	
Ilex integerrima	AJ492885	FJ394844		AJ492664					AF471649				AJ492577	
Ilex anomala		FJ394802		AJ786505					AF471589		X98723		AJ492567	
Ilex amelanchier	AJ492893	FJ394801		AJ275340					AF471593		X98722		AJ275349	
Ilex pseudobuxus	AJ492882	FJ394878		AJ492660					AF471688		X98736		AJ492574	
Ilex geniculata		FJ394836		FJ394684			EU359397		AF471638		FJ394613		FJ394755	
Ilex zhejiangensis		FJ394913		FJ394727			EU359355		AF471725		FJ394654		FJ394796	
Ilex goshiensis	AJ492914	FJ394839		AJ492687					AF471640		X98734		AJ492600	
Ilex ciliospinosa		FJ394814		FJ394666			EU359317		X69742		FJ394595		FJ394737	
Ilex cumulicola		FJ394823		FJ394673			EU359390		AF471623		FJ394602		FJ394744	
Ilex macrocarpa		FJ394857		AJ492689			EU359345		AF471663		AJ492727		AJ492602	
Ilex tolucana		FJ394899		FJ394717			EU359394		AF471710		FJ394644		FJ394786	
Ilex kinabaluensis		FJ394847		FJ394691			EU359371		AF471653		FJ394620		FJ394762	
Ilex montana		FJ394866		FJ394700			EU359365		AF471676		FJ394629		FJ394771	
Ilex zygophylla		FJ394914		FJ394728			EU359351		AF471726		FJ394655		FJ394797	
Ilex tsoi		FJ394901		FJ394718			EU359377		AF471712		FJ394645		FJ394787	
Ilex hookeri		FJ394842		FJ394687			EU359395		AF471645		FJ394616		FJ394758	
Ilex yunnanensis	AJ492891	FJ394911		FJ394726					AF471724		FJ394653		AJ275346	
Ilex mertensii		FJ394862		FJ394699				U92633	AF471671		FJ394628		FJ394770	
Ilex fargesii		FJ394832		FJ394681			EU359381		AF471633		FJ394609		FJ394751	
Ilex spinigera		FJ394894		FJ394715			EU359349		AF471700		FJ394642		FJ394784	
Ilex pernyi		FJ394877		FJ394706			EU359319		X69744		FJ394635		FJ394777	
Ilex guianensis	AJ492890	FJ394840		AJ492669					AF471642		AJ492705		AJ492582	
Ilex corallina		FJ394818		FJ394669			EU359379		AF471619		FJ394598		FJ394740	
Ilex fragilis		FJ394835		FJ394683			EU359392		AF471636		FJ394612		FJ394754	
Ilex microdonta	AJ492886	FJ394864		AJ492665					AF471665		AJ492702		AJ492578	
Ilex hippocrateoides	AJ492880			AJ492658					AF471644		AJ492724		AJ492572	
Ilex laurina		FJ394852		AJ492651					AF471660		AJ492731		AJ492566	
Ilex ficoidea		FJ394834		FJ394682			HQ426979				FJ394611	HQ415253	FJ394753	
Ilex vomitoria	AJ492877	FJ394903		AF174625					AF471715		AF119184		AJ492568	
Ilex kusanoi		FJ394849		FJ394693			EU359350		AF471654		FJ394622		FJ394764	
Ilex longipes		FJ394856		FJ394696			EU359320		AF471658		FJ394625		FJ394767	
Ilex discolor		FJ394829		FJ394678			EU359391		AF471629		FJ394607		FJ394749	
Ilex amara		FJ394800		FJ394657			EU359360		AF471597		FJ394588		FJ394730	
Ilex asperula		FJ394806		FJ394661			EU359310		AF471598		FJ394591		FJ394733	
Ilex spicata		FJ394893		FJ394714			EU359366		AF471703		FJ394641		FJ394783	
Ilex coriacea		FJ394819		FJ394670			EU359389		AF471609		FJ394599		FJ394741	
Ilex rubra		FJ394887		FJ394711			EU359346		AF471693		FJ394638		FJ394780	
Ilex dugesii		FJ394830		FJ394679			EU359358		AF471627		FJ394608		FJ394750	
Ilex hylonoma		FJ394843		FJ394688			EU359359		AF471646		FJ394617		FJ394759	
Ilex kingiana		FJ394848		FJ394692			EU359372		AF471652		FJ394621		FJ394763	
Ilex brevicuspis	AJ492884	FJ394809		AJ786507					AF471603		X98719		AJ492576	
Ilex colchica		FJ394816		FJ394668			EU359314		AF471617		FJ394597		FJ394739	
Ilex nitida		FJ394870		FJ394702			EU359393		AF471677		FJ394631		FJ394773	
Ilex bioritsensis		FJ394807		FJ394662			EU359311		AF471602		FJ394592		FJ394734	
Ilex nothofagifolia		FJ394871		FJ394703			EU359368		AF471708		FJ394632		FJ394774	
Ilex cissoidea		FJ394815		FJ394667			EU359376		AF471610		FJ394596		FJ394738	
Ilex liebmannii	AJ492881	FJ394854		AJ492659			EU359363		AF471659		AJ492700		AJ492573	
Ilex triflora	AJ492899	FJ394900		AJ492675			EU359348		AF471711		AJ492713		AJ492588	
Ilex shennongjiaensis	AJ492894	FJ394891		AJ492670			EU359375		AF471701		AJ492707		AJ492583	
Ilex maximowicziana	AJ492903	FJ394861		AJ492678				U92621	AF471674		AJ492715		AJ492591	
Ilex mutchagara	AJ492898	FJ394868		AJ492674				U92622	AF471673		AJ492712		AJ492587	
Ilex warburgii		FJ394906		FJ394721			EU359396	U92631	AF471718		FJ394648		FJ394790	
Ilex integra		FJ394846		FJ394689			EU359336	U92626	AF471651		FJ394619		FJ394761	
Ilex aculeolata		FJ394799		FJ394656			EU359388		AF471590		FJ394587	JF954081	FJ394729	
Ilex matanoana		FJ394860		FJ394698			EU359364	U92623	AF471669		FJ394627		FJ394769	
Ilex mitis	AJ492913	FJ394865	FJ418160	AJ275338					AF471667		X98730		AJ275347	
Ilex sugerokii	AJ492895	FJ394895		AJ492671					AF471702		AJ492709		AJ492584	
Ilex decidua	AJ492905	FJ394827		AF174624			EU359333		AF471626		X98724		AJ492593	
Ilex theezans	AJ492887	FJ394897		AJ492666			EU359352		AF471709		AJ492703		FJ394785	
Ilex collina	AJ492904	FJ394817		AF200586			EU359369		AF471615		AJ492716		AJ492592	
Ilex teratopis	AJ492874	FJ394896		AJ492649					AF471707		AJ492695		AJ492564	
Ilex brasiliensis	AJ492883	FJ394808		AJ492661			EU359357		AF471600		X98735		AJ492575	
Ilex buergeri		FJ394810		FJ394663			EU359334	U92629	AF471601		FJ394593		FJ394735	
Ilex dimorphophylla		FJ394828		FJ394677			EU359315	U92627	AF471628		FJ394606		FJ394748	
Ilex liukiuensis		FJ394855		FJ394695			EU359380	U92635	AF471661		FJ394624		FJ394766	
Ilex dumosa	AJ492879	FJ394831		AJ492656			EU359316		AF471630		X98725		AJ492571	
Ilex canariensis	AJ492875	FJ394811		AJ275339			EU359361		AJ786546		X98727		AJ275348	
Ilex perado	AJ492920	FJ394876		AJ492693			EU359347		AJ786524		X98729		AJ492606	
Ilex wilsonii		FJ394907		FJ394722			HQ426985		AF471717		FJ394649	HQ427294	FJ394791	
Ilex leucoclada	AJ492917	FJ394853		AJ492690			EU359362		AF471656		AJ492728		AJ492603	
Ilex revoluta	AJ492900	FJ394884		AJ492676			EU359384		AF471699		AJ492714		AJ492589	
Ilex argentina	AJ492878	FJ394804		AJ492655			EU359339		AF471592		AJ492699		AJ492570	
Ilex serrata	AJ492907	FJ394890		AJ492682			EU359343	U92637	AF471704		AJ492718		AJ492595	
Ilex macropoda	AJ492915	FJ394858		EU647659			EU359344	U92639	AF471662		AJ492726		AJ492601	
Ilex pubescens	AJ492912	FJ394879		AJ492686			HQ426982		AF471689		AJ492722	HQ427291	AJ492599	
Ilex purpurea	AJ492897	FJ394881		FJ394708			HQ426983		AF471681		AJ492711	HQ427292	AJ492586	
Ilex rugosa	AJ492919	FJ394888		AJ492692			EU359386	U92636	AF471698		X98733		AJ492605	
Ilex glabra	AJ492911	FJ394838		AJ275342			EU359338		AF471639		AJ492721		AJ275351	
Ilex pedunculosa	AJ492901	FJ394875		AJ275341			EU359341	U92624	AF471682		X98728		AJ275350	
Ilex rotunda	AJ492908	FJ394886	AY140229	AJ492683				U92625	AF471692		FJ394637	JN407087	AJ492596	
Ilex verticillata	AJ492906	FJ394902		AJ492681			EU359326		AF471713		AJ492717		AJ492594	
Ilex micrococca	AJ492909	FJ394863		AJ492684			HQ426981	U92638	AF471670		X98721	JF954107	AJ492597	
Ilex repanda		FJ394883		AJ492654			EU359373		AF471694	AY725920	AY725859		AJ492569	
Ilex crenata	AJ492902	FJ394822		AJ492677			EU359312	U92620	X91003	AJ235502	L01928		AJ492590	
Ilex aquifolium		FJ394803	FJ418158	FJ394658			FJ395543		X69741		FJ394589	HE967420	AM397182	
Ilex opaca		FJ394872		FJ394704			GQ248321		AF471679		FJ394633	GQ248140	FJ394775	
Ilex paraguariensis		FJ394874		FJ394705		FR849983	GQ248322		AF471684		FJ394634	GQ248141	FJ394776	
Ilex latifolia	AJ492918	FJ394851	AY140227	DQ200798	FR849937	FR849984	JN044950	U92628	AF471655		X98731	JF954103	AJ492604	
Ilex pentagona					FR849943	FR849991	JN044953				JF942019	JF954110		
Ilex kaushue					FR849939	FR849986	JN044946				JF942007	JF954101		
Ilex cornuta		FJ394821	FJ418159	FJ394671	FR849938	FR849989	EU359378		AF471624	GQ997300	FJ394601	GQ997309	FJ394743	
