taxon	5S-ribosomal-RNA-non-transcribed-spacer	psbZ	ndhF-rpl32-intergenic-spacer	petL-psbE-intergenic-spacer	rps16-trnK-intergenic-spacer	atpB-rbcL-intergenic-spacer	U2A'	rpoC1	atpA	rpoC1.1	psbA-trnH-intergenic-spacer;-may-also-contain-psbA-gene	rpL32	ndhF	unknown	unknown.1	rps16	unknown.2	matK	rpb2-d	disease-resistance-like-protein	unknown.3	unknown.4	unknown.5	trnS-trnG-intergenic-spacer	18S-RNA-gene	atpB	external-transcribed-spacer,-ETS	26S-ribosomal-RNA	accD	rpl16	18S-ribosomal-RNA	unknown.6	atpF	unknown.7	PepC-Large	rbcL	cox1	PepC-Small	Tpi	Top1	trnL-trnF-intergenic-spacer	trnL-trnF-intergenic-spacer.1	unknown.8	unknown.9	rps16.1	atpF-atpH-intergenic-spacer;-may-contain-AtpF-and-AtpH-genes	18S-ribosomal-RNA.1	psbA-trnH-intergenic-spacer	rpl20-rps12-intergenic-spacer	intergenic-spacer,-IGS	unknown.10	external-transcribed-spacer,-ETS.1	trnT-trnL-intergenic-spacer	external-transcribed-spacer,-ETS.2	unknown.11	rbcL.1	petB	unknown.12	rpoC1.2	unknown.13	rpl16.1	trnS	tdc	trnH-psbA-intergenic-spacer	psbA	5S-ribosomal-RNA-nontranscribed-spacer	5S-ribosomal-RNA-nontranscribed-spacer.1	ORFIII-like-polyprotein	trnC-GCA	rpoB	petN	unknown.14	external-transcribed-spacer	unknown.15	external-transcribed-spacer,-ETS.3	trnH-psbA-intergenic-spacer;-may-contain-psbA	tRNA-Leu	petA-psbJ-intergenic-spacer	atp1	trnH-psbA-intergenic-spacer;-may-contain-psbA.1	S-RNase	5S-ribosomal-RNA	unknown.16	
Sipanea glomerata																	AY555118																																																																			
Sipanea acinifolia																	AY555114																																																																			
Sipanea veris																	AY555117																																																																			
Sipanea galioides																	AY555119																																																																			
Carapichea lucida																	HQ890332																																																																			
Pleiocarpidia enneandra																																																																										HM042535										
Commitheca liebrechtsiana						AJ233999																																																																														
Retiniphyllum secundiflorum																EU821633																																																																				
Retiniphyllum concolor																EU821629																																																																				
Retiniphyllum rhabdocalyx																EU821630																																																																				
Retiniphyllum schomburgkii																EU821631																																																																				
Retiniphyllum maguirei																EU821632																																																																				
Mapouria ankafinensis																AF410688																																																																				
Mapouria macrochlamys																AF410689																																																																				
Hedyotis serpens																AF333377																																																																				
Hedyotis hillebrandii																AF002765																																																																				
Hedyotis capitellata																	AM939452																																																																			
Nenax acerosa																AF003606																																																																				
Lagynias pallidiflora																	AJ874984																																																																			
Lagynias monteiroi																	AJ874983																																																																			
Coptosperma borbonicum																AF201024																																																																				
Coptosperma neurophyllum																																				Z68861																																																
Uncaria appendiculata																																				JF738676																																																
Randia fitzalani																																				Z68848																																																
Randia decemcostata																																				AJ286700																																																
Randia pringlei																	AF493471																																																																			
Randia nelsonii																	AM182212																																																																			
Randia ruiziana																																				Z68830																																																
Randia capitata																	AM182207																																																																			
Randia induta																	AM182206																																																																			
Randia guerrerensis																	AM182208																																																																			
Randia dryadum																																				FJ976170																																																
Randia laetevirens																	AF493461																																																																			
Randia calycina																AF004074																																																																				
Randia nitida																EU821628																																																																				
Randia laevigata																																																																		AF493517																		
Randia spinifex																																																												AF152664																								
Randia ciliolata																	AF493453																																																																			
Randia mira																	AF493465																																																																			
Afrocanthium mundianum																																																												AJ620128																								
Posoqueria coriacea																																				JQ594591																																																
Saprosma crassipes																DQ282645																																																																				
Saprosma ternata																DQ282646																																																																				
Isidorea pungens																																																												AF152702																								
Hoffmannia oaxacensis																	JX468355																																																																			
Hoffmannia culminicola																	JX468354																																																																			
Hoffmannia refulgens						X81684																																																																														
Hoffmannia silviarum																	JX468356																																																																			
Pouchetia baumanniana																EU821625																																																																				
Gaertnera obovata																	AF360698																																																																			
Gaertnera humblotii																	AF360696																																																																			
Gaertnera microphylla																	AF360697																																																																			
Cosmocalyx spectabilis						DQ131716																																																																														
Coussarea hirticalyx						DQ131717																																																																														
Coussarea contracta						AJ234007																																																																														
Ferdinandusa loretensis																		FJ905362																																																																		
Alibertia bertierifolia																	AF183734																																																																			
Manettia cordifolia						AJ234023																																																																														
Heinsia bussei																	AJ846881																																																																			
Heinsia zanzibarica																	AJ846880																																																																			
Salzmannia nitida						DQ131784																																																																														
Hillia macrophylla																AF004055																																																																				
Knoxia corymbosa																AF002738																																																																				
Schmidtottia uliginosa																AF243019																																																																				
Bremeria vestita																	AJ846871																																																																			
Bremeria pervillei																	AJ846872																																																																			
Bremeria latisepala																	AJ846869																																																																			
Tarennoidea wallichii																AF201025																																																																				
Chomelia brasiliana						DQ131712																																																																														
Lasianthus sikkimensis																DQ282644																																																																				
Lasianthus verticillatus																DQ282640																																																																				
Lasianthus chrysoneurus																DQ282642																																																																				
Lasianthus hookeri																DQ282643																																																																				
Lasianthus hirsutus																DQ282637																																																																				
Lasianthus rhinocerotis																DQ282639																																																																				
Lasianthus attenuatus																DQ282638																																																																				
Lasianthus coffeoides																AF004061																																																																				
Oxyanthus racemosa																AF201009																																																																				
Staelia thymoides																																																																							GU357444													
Hymenocoleus scaphus																AF369849																																																																				
Atractocarpus stipularis																AF200979																																																																				
Gonzalagunia veraguensis																																																												AF152720																								
Gonzalagunia kallunkii																																																												AF152723																								
Gonzalagunia cuatrecasasii																AF242951																																																																				
Gonzalagunia whitei																AF242955																																																																				
Gonzalagunia discolor																AF242953																																																																				
Cuatrecasasiodendron spectabile																	DQ063670																																																																			
Hydnophytum grandiflorum																AF369847																																																																				
Neanotis ingrata																																				JQ933417																																																
Wendlandia thyrsoidea																																				AM117283																																																
Amaracarpus grandifolius																AF410678																																																																				
Amaracarpus kochii																AF410679																																																																				
Mastixiodendron pachyclados																																				JF738936																																																
Morinda retusa																	FJ907079																																																																			
Morinda panamensis																																				JQ593704																																																
Morinda shuanghuaensis																	AY514062																																																																			
Morinda parvifolia																	AY551327																																																																			
Morinda ammitia																	FJ907051																																																																			
Morinda myrtifolia																																																										FJ907141																										
Trukia fitzalanii																AF201027																																																																				
Pseudosabicea mildbraedii																	AM409051																																																																			
Pseudosabicea mitisphaera																AF332370																																																																				
Pseudosabicea aurifodinae																	AM409046																																																																			
Pseudosabicea medusula																	AM409047																																																																			
Pseudosabicea proselyta																	AM409053																																																																			
Pseudosabicea batesii																	AM409048																																																																			
Pseudosabicea segregata																	AM409054																																																																			
Pseudosabicea nobilis																	AM409052																																																																			
Pyrostria oleifolia																																																												FN386346																								
Pyrostria longiflora																																																												FN386365																								
Pyrostria andilanensis																																												EU584369																																								
Pyrostria richardiae																																																												FN386349																								
Pyrostria ixorifolia																																																												FN386343																								
Aidia racemosa																																				AJ286693																																																
Urophyllum zeylanicum																AM900620																																																																				
Rutidea orientalis																																				Z68862																																																
Rustia occidentalis																		FJ905383																																																																		
Pavetta barbertoniana																AF004069																																																																				
Pavetta stenosepala																EU821624																																																																				
Anthorrhiza clemensii																	AF034915																																																																			
Casasia jacquinioides																	AF493434																																																																			
Antirhea borbonica																	DQ063666																																																																			
Antirhea smithii																	DQ063667																																																																			
Antirhea rhamnoides																	DQ063686																																																																			
Antirhea chinensis																	DQ063702																																																																			
Atractogyne gabonii																AF200980																																																																				
Pentas carnea																AF002750																																																																				
Pentas suswaensis																AM266889																																																																				
Coccocypselum lanceolatum																AF004036																																																																				
Spermacoce confusa																AF003619																																																																				
Keetia hispida																																																												FN386324																								
Edithea guerrerensis																																																												JX474898																								
Argostemma africanum																																				FJ209065																																																
Argostemma pumilum						FJ226535																																																																														
Hamelia xorullensis																																																												JX474908																								
Thouarsiora littoralis																																																							FJ150473																													
Pentanisia calcicola																AM266853																																																																				
Ixora amplexicaulis																AF242969																																																																				
Ixora quadrilocularis																FJ150656																																																																				
Ixora fastigiata																																																												FJ150558																								
Ixora biflora																																				Z68866																																																
Ixora arborea																																				JQ673539																																																
Otomeria volubilis																AM266845																																																																				
Rubia membranacea																																																																	JQ687266																			
Machaonia brasiliensis																AF242975																																																																				
Neoblakea venezuelensis																																																												AF152732																								
Antherostele banahaensis																	JX401433																																																																			
Antherostele luzoniensis																	JX401438																																																																			
Antherostele callophylla																	JX401434																																																																			
Antherostele grandistipula																	JX401436																																																																			
Arachnothryx ovata																AF242908																																																																				
Arachnothryx leptodictya																	AM182223																																																																			
Arachnothryx scabra																	JX474880																																																																			
Arachnothryx secunda																	AM182219																																																																			
Arachnothryx jurgensenii																	JX474879																																																																			
Arachnothryx linguiformis																	AM182215																																																																			
Arachnothryx septicidalis																	AM182216																																																																			
Arachnothryx colombiana																	AM182220																																																																			
Arachnothryx cooperi																	AM182221																																																																			
Arachnothryx torresii																	AM182201																																																																			
Arachnothryx gracilispica																	AM182217																																																																			
Ophiorrhiza prostrata																																																															EU057719																					
Ophiorrhiza liukiuensis																																								AB372509																																												
Perama hirsuta																AF004070																																																																				
Straussia psychotrioides																AF410746																																																																				
Heterophyllaea pustulata																AF004054																																																																				
Pentagonia tinajita																AF242992																																																																				
Csapodya challengeri																	JX474882																																																																			
Simira rubescens																																																												AY555096																								
Appunia brachycalyx																	FJ907038																																																																			
Appunia tenuiflora																																																										FJ907106																										
Didymosalpinx lanciloba						DQ131724																																																																														
Coffea dolichophylla																	U64327																																																																			
Geophila macropoda																	AF072017																																																																			
Geophila cordifolia																	AF072015																																																																			
Geophila ingens																AF369844																																																																				
Carpacoce spermacocea																AF257899																																																																				
Hedythyrsus thamnoideus																																				AM117232																																																
Mitragyna hirsuta																	AB249647																																																																			
Deppea cornifolia																																																												JX474894																								
Deppea inaequalis																	JX474888																																																																			
Relbunium hypocarpium																																				AJ288621																																																
Fadogia audruana																EU821616																																																																				
Kohautia senegalensis																																										EU642546																																										
Stenostomum myrtifolium																	AF323059																																																																			
Burchellia capensis																AF200985																																																																				
Bobea sandwicensis																	DQ063669																																																																			
Limnosipanea schomburgkii																AF242973																																																																				
Limnosipanea palustris																	AY555111																																																																			
Limnosipanea spruceana																	AY555113																																																																			
Platycarpum acreanum																	AY555110																																																																			
Aoranthe castaneofulva																AF200977																																																																				
Tapiphyllum cinerascens																	AJ315096																																																																			
Tapiphyllum obtusifolium																	AJ875006																																																																			
Saldinia axillaris						DQ131783																																																																														
Coprosma crenulata																	AY191801																																																																			
Coprosma chathamica																	EF635443																																																																			
Coprosma nitida																	JF950743																																																																			
Coprosma tenuicaulis																	JF950766																																																																			
Coprosma cymosa																JF950827																																																																				
Coprosma baueri																	EF660529																																																																			
Coprosma ciliata																JF950824																																																																				
Coprosma decurva																JF950828																																																																				
Coprosma pilosa																	EF660530																																																																			
Coprosma moorei																JF950844																																																																				
Coprosma perpusilla																	JF950746																																																																			
Coprosma lucida																	GQ130330																																																																			
Coprosma acutifolia																	EF660535																																																																			
Coprosma petiolata																	EF635455																																																																			
Coprosma arborea																	EU169116																																																																			
Coprosma divergens																	JF950727																																																																			
Coprosma brunnea																	AY189124																																																																			
Prismatomeris labordei						AJ234005																																																																														
Prismatomeris tetrandra																AF129273																																																																				
Timonius densiflorus																	DQ063698																																																																			
Timonius nitidus																	AF323063																																																																			
Timonius flavescens																	DQ063699																																																																			
Timonius sechellensis																																																												AF152730																								
Timonius polygamus																	DQ063700																																																																			
Timonius pulposus																																				JF738373																																																
Paederia linearis						DQ131758																																																																														
Sarcocephalus coadunatus																																				JF739139																																																
Conostomium longitubum																																				AJ616210																																																
Psilanthus bababudanii																	AY853404																																																																			
