taxon	trnT(UGU)-trnL(UAA)-intergenic-spacer	18S-ribosomal-RNA	rpl16	ndhF	atpB	rps16	psbA	contains-5S-ribosomal-RNA-and-intergenic-spacer-region	contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer	matK	trnH-psbA-intergenic-spacer	trnS	contains-tRNA-Asp-(trnD),-trnD-trnY-intergenic-spacer,-tRNA-Tyr-(trnY),-trnY-trnE-intergenic-spacer,-tRNA-Glu-(trnE),-trnE-trnT-intergenic-spacer,-and-tRNA-Thr-(trnT)	rbcL	5.8S-ribosomal-RNA	unknown	ycf5	rbcL.1	unknown.1	26S-ribosomal-RNA	psbA.1	rpoC1	trnC	rbcL.2	contains-5S-ribosomal-RNA-and-nontranscribed-spacer	rpl32-tRNA-Leu-intergenic-spacer	rps4	matR	GBSSI	
Arthrophyllum diversifolium									AY393708						AY389027				GQ267604											
Arthrophyllum balansae									GQ267556						GQ267580				GQ267603											
Eleutherococcus japonicus												AB649415									AB649345					AB649380				
Eleutherococcus divaricatus								AY304720		AB571645																			AY204026	
Meryta latifolia												FJ470208						FJ470148									FJ470241			
Meryta pedunculata									AY393738						AF396419				AY746580											
Meryta balansae									AY393737						AY746556				AY746571											
Meryta tenuifolia									AY393739						AY389041				AY746584											
Harmsiopanax aculeata									AY753278					AY753251	DQ007376															
Panax sinensis								AY304742							AF263376								AY275941							
Panax omeiensis								AY304740							U41692								AY275934							
Panax wangianus								EU574686							U41691								AY275952							
Brassaiopsis ficifolia				EF152186					EF152177						EF152169															
Brassaiopsis ciliata				AY171074				AY304589							AF551723															
Brassaiopsis griffithii									AY753259					AY753232	AY725116															
Brassaiopsis mitis				AY171075				AY304652							AY304801															
Brassaiopsis fatsioides				AY171070				AY304611							AY304782															
Brassaiopsis ferruginea								AY304618							AY304784														AY203979	
Brassaiopsis tripteris				AY256896				AY304692							AY304812															
Brassaiopsis producta				AY251909				AY304668							AY304807															
Brassaiopsis simplicifolia									AY753263					AY753234	AY725118															
Brassaiopsis phanrangensis				AY171073				AY304666							AY304806															
Polyscias schultzei									GQ267577						GQ267597				GQ267685											
Polyscias mauritiana									AY430396						AY430384				GQ267663											
Polyscias tennantii								AF393950	AF393914						AF229720															
Polyscias nothisii								AY035576	AF382180						AF229707															
Polyscias balfouriana	AF506118		AF094460																			U72478								
Polyscias purpurea									AY430400						AF229711				GQ267676											
Polyscias sessiliflora								AF393927	AF393912						AF229717															
Polyscias mollis									AF396413						AF229705				GQ267667											
Polyscias boivinii									AY430391						AY430380				GQ267639											
Polyscias javanica									AY753279					AY753252	DQ007383															
Polyscias bellendenkerensis									AF396411						AF229691				GQ267638											
Polyscias gentryi								AF393947	AF393895						AF393862															
Polyscias nodosa									AY430399						AY430387				GQ267672											
