taxon	rbcL	trnC	trnD	matK	contains-psbA,-psbA-trnH-intergenic-spacer-region,-and-trnH	trnL	5.8S-ribosomal-RNA	matR	contains-trnL,-trnL-trnF-intergenic-spacer-region,-and-trnF	rpl16	
Symplocos groffii							AY336304				
Symplocos costata	Z80192										
Symplocos costaricana		DQ086338									
Symplocos celastrifolia										AY336426	
Symplocos nana							AY336277				
Symplocos striata		DQ086358									
Symplocos ferruginea	Z80193										
Symplocos tenuifolia				AY336356			AY336290				
Symplocos spectabilis		DQ086377								AY630713	
Symplocos dolichotricha				AY679809						AY630706	
Symplocos zizyphoides	AY725865							AY725893			
Symplocos aenea						AY336467	AY336306				
Symplocos pseudobarberina							AY336319			AY336416	
Symplocos panamensis						AY336452				AY336400	
Symplocos coriacea						AY630727	AY336278				
Symplocos phaeoclados							AY336265			AY336384	
Symplocos henschelii						AY336429	AY336262				
Symplocos caudata					AB115375		AB114876		AB115341		
Symplocos nakaharae					AB115394		AB114895		AB115360		
Symplocos tanakae					AB115396		AB114897		AB115362		
Symplocos domingensis				AY336347		AY336437				AY336391	
Symplocos poilanei				AY336379		AY336489	AY336335				
Symplocos kuroki					AB115393		AB114894		AB115359		
Symplocos botryantha					AB115374		AB114875		AB115340		
Symplocos pergracilis					AB115395		AB114896		AB115361		
Symplocos coreana					AB115369		AB114870		AB115335		
Symplocos sonoharae					AB115367		AB114868		AB115333		
Symplocos liukiuensis					AB115377		AB114878		AB115343		
Symplocos tortuosa				AY679811		AY630755	AY630648				
Symplocos formosana					AB115385		AB114886		AB115351		
Symplocos okinawensis					AB115397		AB114898		AB115363		
Symplocos sawafutagi					AB115371		AB114872		AB115337		
Symplocos ernestii					AB115391		AB114892		AB115357		
Symplocos myrtacea					AB115379		AB114880		AB115345		
Symplocos kleinii						AY336432	AY336267			AY376902	
Symplocos pilosa				AY336378			AY336334			AY336425	
Symplocos theophrastifolia					AB115384		AB114885		AB115339		
Symplocos tribracteolata		DQ086361				AY336439	AY336275				
Symplocos laeteviridis						AY336486	AY336330			AY336423	
Symplocos konishii					AB115383		AB114884		AB115349		
Symplocos modesta					AB115378		AB114879		AB115344		
Symplocos boninensis					AB115390		AB114891		AB115356		
Symplocos kawakamii					AB115392		AB114893		AB115358		
Symplocos tanakana					AB115372		AB114873		AB115338		
