marker	taxa
5.8S-ribosomal-RNA	2704
matK	1781
contains-trnT-trnL-intergenic-spacer,-tRNA-Leu-(trnL),-trnL-trnF-intergenic-spacer,-and-tRNA-Phe-(trnF)	1698
unknown.1	1667
rps16	1524
ndhF	1450
rbcL	1309
trnL.1	884
rpl16	849
GBSSI	797
trnK	732
trnS-trnG-intergenic-spacer	725
rbcL.1	722
atpB-rbcL-intergenic-spacer	675
trnL	634
contains-tRNA-Leu-and-trnL-trnF-intergenic-spacer	597
atpB	592
psbA	530
trnS	398
rbcL.2	378
rpl32	350
matK.3	337
contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer	329
trnH-psbA-intergenic-spacer	310
contains-tRNA-Leu-(trnL)-gene-and-trnL-trnF-intergenic-spacer	294
trnS(GCU)-trnG(UCC)-intergenic-spacer	279
petN	271
ndhF.1	271
rpoB	266
unknown	240
trnH-psbA-intergenic-spacer,-IGS	203
contains-trnL,-trnL-trnF-intergenic-spacer-region,-and-trnF	202
RPB2I.3	184
psbA-trnH-intergenic-spacer	176
psbA.1	176
RBP2I	166
RPB2I.1	166
RPB2I.2	166
RPB2I	166
nepGS	162
psbA-trnH-intergenic-spacer.1	161
trnT-trnL-intergenic-spacer	161
rpoC1	150
rpl20-rps12-intergenic-spacer	145
trnG	143
trnH-psbA-intergenic-spacer;-may-contain-psbA	136
tRNA-Leu	134
COSII_At5g14320	133
trnK(UUU)-rps16-intergenic-spacer	131
COSII_At1g13380	131
18S-ribosomal-RNA	130
trnC-petN-intergenic-spacer,-IGS	126
trnL-trnF-intergenic-spacer;-may-contain-portions-of-the-tRNA-Leu-and-tRNA-Phe-genes	126
trnY	126
waxy	125
contains-tRNA-Asp-(trnD),-trnD-trnY-intergenic-spacer,-tRNA-Tyr-(trnY),-trnY-trnE-intergenic-spacer,-tRNA-Glu-(trnE),-trnE-trnT-intergenic-spacer,-and-tRNA-Thr-(trnT)	120
hypothetical-protein	115
26S-ribosomal-RNA	113
