taxa_in_original_tree	species	total	rbcL	matK	rps16	ndhF	5.8S-ribosomal-RNA	contains-trnT-trnL-intergenic-spacer,-tRNA-Leu-(trnL),-trnL-trnF-intergenic-spacer,-and-tRNA-Phe-(trnF)
Abelia	Abelia chinensis	4	HQ680737	AY310461	NA	HQ693958	GU168619	NA
Abelia	Abelia floribunda	4	HQ680733	GU168641	NA	HQ693954	GU168621	NA
Abelia	Abelia spathulata	4	HQ680743	GU168646	NA	HQ693964	GU168626	NA
Abelia	Abelia serrata	3	HQ680744	HQ693943	NA	HQ693965	NA	NA
Abelia	Abelia uniflora	3	HQ680734	HQ693934	NA	HQ693955	NA	NA
Abelia	Abelia occidentalis	2	NA	GU168644	NA	NA	GU168624	NA
Abelia	Abelia graebneriana	2	NA	GU168642	NA	NA	GU168622	NA
Abelia	Abelia mexicana	2	NA	GU168643	NA	NA	GU168623	NA
Abelia	Abelia engleriana	2	NA	GU168640	NA	NA	GU168620	NA
Abelia	Abelia schumannii	2	NA	GU168645	NA	NA	GU168625	NA
Alseuosmiaceae	Crispiloba disperma	3	X87382	GQ983650	NA	AJ238338	NA	NA
Alseuosmiaceae	Alseuosmia macrophylla	3	X87377	AJ429378	NA	AJ238334	NA	NA
Alseuosmiaceae	Wittsteinia vacciniacea	2	X87399	NA	NA	AJ238345	NA	NA
Aquifoliales	Helwingia japonica	4	X94941	AJ430195	AJ431089	AF130207	NA	NA
Aquifoliales	Ilex cornuta	4	AF471624	GQ997309	GQ997365	GQ997315	NA	NA
Aquifoliales	Cardiopteris quinqueloba	3	NA	AJ429310	AJ431021	AJ312963	NA	NA
Aquifoliales	Ilex rotunda	3	AF471692	JN407087	AB178613	NA	NA	NA
Aquifoliales	Discophora guianensis	2	NA	JQ626375	NA	AJ312964	NA	NA
Aquifoliales	Phyllonoma ruscifolia	2	NA	AJ429377	AJ431090	NA	NA	NA
Aquifoliales	Grisollea myrianthea	2	NA	NA	GQ984031	AJ312955	NA	NA
Aquifoliales	Ilex asprella	2	AF471595	JN407082	NA	NA	NA	NA
Aquifoliales	Ilex aculeolata	2	AF471590	JF954081	NA	NA	NA	NA
Aquifoliales	Ilex wilsonii	2	AF471717	HQ427294	NA	NA	NA	NA
Aquifoliales	Citronella suaveolens	2	NA	GQ983648	GQ984030	NA	NA	NA
Aquifoliales	Ilex pubescens	2	AF471689	HQ427291	NA	NA	NA	NA
Aquifoliales	Ilex integra	2	AF471651	NA	AB178615	NA	NA	NA
Aquifoliales	Ilex purpurea	2	AF471681	HQ427292	NA	NA	NA	NA
Aquifoliales	Ilex micrococca	2	AF471670	JF954107	NA	NA	NA	NA
Aquifoliales	Gomphandra javanica	2	NA	GQ983651	NA	GQ983663	NA	NA
Aquifoliales	Irvingbaileya australis	2	NA	NA	GQ984022	AJ236255	NA	NA
Aquifoliales	Ilex aquifolium	2	X69741	HE967420	NA	NA	NA	NA
Aquifoliales	Ilex repanda	2	AF471694	NA	NA	AY725870	NA	NA
Aquifoliales	Gonocaryum litorale	2	NA	GQ983654	NA	AJ400889	NA	NA
Aquifoliales	Ilex paraguariensis	2	AF471684	GQ248141	NA	NA	NA	NA
Aquifoliales	Ilex crenata	2	X91003	NA	NA	AF130206	NA	NA
Aquifoliales	Ilex latifolia	2	AF471655	JF954103	NA	NA	NA	NA
Aquifoliales	Ilex opaca	2	AF471679	GQ248140	NA	NA	NA	NA
Aquifoliales	Ilex chapaensis	1	NA	HQ415254	NA	NA	NA	NA
Aquifoliales	Ilex viridis	1	AF471714	NA	NA	NA	NA	NA
Aquifoliales	Ilex cochinchinensis	1	NA	HQ415256	NA	NA	NA	NA
Aquifoliales	Ilex suaveolens	1	NA	HQ427293	NA	NA	NA	NA
Aquifoliales	Ilex excelsa	1	NA	JF954097	NA	NA	NA	NA
Aquifoliales	Ilex polyneura	1	NA	JF954115	NA	NA	NA	NA
Aquifoliales	Ilex memecylifolia	1	NA	HQ415252	NA	NA	NA	NA
Aquifoliales	Ilex chinensis	1	NA	JF954086	NA	NA	NA	NA
Aquifoliales	Ilex mucronata	1	AF471672	NA	NA	NA	NA	NA
Aquifoliales	Ilex oppositifolia	1	AF471680	NA	NA	NA	NA	NA
Aquifoliales	Ilex laevigata	1	AF471657	NA	NA	NA	NA	NA
Aquifoliales	Ilex wallichii	1	AF471716	NA	NA	NA	NA	NA
Aquifoliales	Ilex georgei	1	AF471641	NA	NA	NA	NA	NA
Aquifoliales	Ilex havilandii	1	AF471643	NA	NA	NA	NA	NA
Aquifoliales	Ilex cyrtura	1	AF471614	NA	NA	NA	NA	NA
Aquifoliales	Ilex maingayi	1	AF471666	NA	NA	NA	NA	NA
Aquifoliales	Ilex sebertii	1	FJ418156	NA	NA	NA	NA	NA
Aquifoliales	Ilex nervulosa	1	AF471678	NA	NA	NA	NA	NA
Aquifoliales	Ilex cymosa	1	AF471621	NA	NA	NA	NA	NA
Aquifoliales	Ilex cassine	1	AF471605	NA	NA	NA	NA	NA
Aquifoliales	Ilex integerrima	1	AF471649	NA	NA	NA	NA	NA
Aquifoliales	Ilex arnhemensis	1	FJ418155	NA	NA	NA	NA	NA
Aquifoliales	Ilex anomala	1	AF471589	NA	NA	NA	NA	NA
Aquifoliales	Ilex bioritsensis	1	AF471602	NA	NA	NA	NA	NA
Aquifoliales	Ilex microdonta	1	AF471665	NA	NA	NA	NA	NA
Aquifoliales	Ilex geniculata	1	AF471638	NA	NA	NA	NA	NA
Aquifoliales	Ilex mertensii	1	AF471671	NA	NA	NA	NA	NA
Aquifoliales	Ilex hylonoma	1	AF471646	NA	NA	NA	NA	NA
Aquifoliales	Ilex longipes	1	AF471658	NA	NA	NA	NA	NA
Aquifoliales	Ilex ficoidea	1	NA	HQ415253	NA	NA	NA	NA
Aquifoliales	Ilex laurina	1	AF471660	NA	NA	NA	NA	NA
Aquifoliales	Ilex kingiana	1	AF471652	NA	NA	NA	NA	NA
Aquifoliales	Ilex asperula	1	AF471598	NA	NA	NA	NA	NA
Aquifoliales	Ilex tsoi	1	AF471712	NA	NA	NA	NA	NA
Aquifoliales	Ilex kinabaluensis	1	AF471653	NA	NA	NA	NA	NA
Aquifoliales	Ilex ciliospinosa	1	X69742	NA	NA	NA	NA	NA
Aquifoliales	Ilex rubra	1	AF471693	NA	NA	NA	NA	NA
Aquifoliales	Ilex fragilis	1	AF471636	NA	NA	NA	NA	NA
Aquifoliales	Ilex pernyi	1	X69744	NA	NA	NA	NA	NA
Aquifoliales	Ilex amelanchier	1	AF471593	NA	NA	NA	NA	NA
Aquifoliales	Ilex pseudobuxus	1	AF471688	NA	NA	NA	NA	NA
Aquifoliales	Ilex cumulicola	1	AF471623	NA	NA	NA	NA	NA
Aquifoliales	Ilex corallina	1	AF471619	NA	NA	NA	NA	NA
Aquifoliales	Ilex spicata	1	AF471703	NA	NA	NA	NA	NA
Aquifoliales	Ilex discolor	1	AF471629	NA	NA	NA	NA	NA
Aquifoliales	Ilex cissoidea	1	AF471610	NA	NA	NA	NA	NA
Aquifoliales	Ilex hippocrateoides	1	AF471644	NA	NA	NA	NA	NA
Aquifoliales	Ilex guianensis	1	AF471642	NA	NA	NA	NA	NA
Aquifoliales	Ilex macrocarpa	1	AF471663	NA	NA	NA	NA	NA
Aquifoliales	Ilex zhejiangensis	1	AF471725	NA	NA	NA	NA	NA
Aquifoliales	Ilex dugesii	1	AF471627	NA	NA	NA	NA	NA
Aquifoliales	Ilex nothofagifolia	1	AF471708	NA	NA	NA	NA	NA
Aquifoliales	Ilex tolucana	1	AF471710	NA	NA	NA	NA	NA
Aquifoliales	Ilex zygophylla	1	AF471726	NA	NA	NA	NA	NA
Aquifoliales	Ilex vomitoria	1	AF471715	NA	NA	NA	NA	NA
Aquifoliales	Ilex spinigera	1	AF471700	NA	NA	NA	NA	NA
Aquifoliales	Ilex fargesii	1	AF471633	NA	NA	NA	NA	NA
Aquifoliales	Ilex montana	1	AF471676	NA	NA	NA	NA	NA
Aquifoliales	Ilex yunnanensis	1	AF471724	NA	NA	NA	NA	NA
Aquifoliales	Ilex coriacea	1	AF471609	NA	NA	NA	NA	NA
Aquifoliales	Ilex brevicuspis	1	AF471603	NA	NA	NA	NA	NA
Aquifoliales	Ilex goshiensis	1	AF471640	NA	NA	NA	NA	NA
Aquifoliales	Ilex amara	1	AF471597	NA	NA	NA	NA	NA
Aquifoliales	Ilex kusanoi	1	AF471654	NA	NA	NA	NA	NA
Aquifoliales	Ilex colchica	1	AF471617	NA	NA	NA	NA	NA
Aquifoliales	Ilex hookeri	1	AF471645	NA	NA	NA	NA	NA
Aquifoliales	Ilex nitida	1	AF471677	NA	NA	NA	NA	NA
Aquifoliales	Ilex buergeri	1	AF471601	NA	NA	NA	NA	NA
Aquifoliales	Ilex shennongjiaensis	1	AF471701	NA	NA	NA	NA	NA
Aquifoliales	Ilex mutchagara	1	AF471673	NA	NA	NA	NA	NA
Aquifoliales	Ilex dimorphophylla	1	AF471628	NA	NA	NA	NA	NA
Aquifoliales	Ilex dumosa	1	AF471630	NA	NA	NA	NA	NA
Aquifoliales	Ilex warburgii	1	AF471718	NA	NA	NA	NA	NA
Aquifoliales	Ilex maximowicziana	1	AF471674	NA	NA	NA	NA	NA
Aquifoliales	Ilex sugerokii	1	AF471702	NA	NA	NA	NA	NA
