taxon	trnK	rpoC1	internal-transcribed-spacer-1,-ITS1	LEAFY	LEAFY.1	coxI	rps4	trnK.1	trnL-trnF-intergenic-spacer	str1	matK	rbcL	contains-atpB-gene,-atpB-rbcL-intergenic-spacer,-and-rbcL-gene	trnC-rpoB-intergenic-spacer	trnG	psbA	psbA-trnH-intergenic-spacer	contains-tRNA-Leu-(trnL)-gene-and-trnL-trnF-intergenic-spacer	phya	chloroplast-glutamine-synthetase	atp6	rps16	rps16.1	rpl16	18S-ribosomal-RNA	26S-ribosomal-RNA	matR	psbB	rps3	18S-ribosomal-RNA.1	18S-ribosomal-RNA.2	5.8S-ribosomal-RNA	rbcL.1	contains-PsbA-(psbA),-psbA-trnH-intergenic-spacer,-and-tRNA-His-(trnH)	nadhF	external-transcribed-spacer	unknown	matK.1	trnD-trnT-intergenic-spacer	rps16.2	trnS-trnG-intergenic-spacer	nadhF.1	atpB	intergenic-spacer,-IGS	18S-rRNA	unknown.1	unknown.2	
Dischidia bengalensis																		AF214343																														
Pentasachme wallichii																																	JQ933437															
Echidnopsis sharpei																																													DQ469525			
Echidnopsis bihendulensis																																													DQ469527			
Amphineurion terminans																																	JN572316															
Tylophora dalzellii																																	EU196293															
Tylophora fasciculata																		GU060631																														
Tylophora ovata																																	EU196294															
Sacleuxia newii																														DQ916863																		
Araujia hortorum																																	AJ419734															
Anartia meyerii																																	JQ626134															
Aspidosperma oblongum																																	JQ626016															
Oxypetalum strictum																		AY163714																														
Oxypetalum coccineum																																									DQ026749							
Oxypetalum insigne																		AY163712																														
Bidaria khandalensis																																	EU232692															
Brachystelma franksiae																		AJ410024																														
Brachystelma schizoglossoides																		AJ410035																														
Brachystelma luteum																																	AM234832															
Brachystelma edule																																	EU196252															
Matelea palustris																		EU031624																														
Matelea alabamensis				EU038922																																												
Astephanus neglectus																		AJ410185																														
Aspidoglossum ovalifolium																		AY163666																														
Galactophora crassifolia																		AF214358																														
Melodinus suaveolens																																	EU916737															
Melodinus fusiformis																																	EU916738															
Hoodia macrantha													FJ026618																																			
Cosmostigma racemosum																																	EU196268															
Lepinia taitensis																																	AJ419746															
Marsdenia gillespieae																		AJ431757																														
Marsdenia macrophylla																		AJ574821																														
Marsdenia megalantha																		AJ574835																														
Marsdenia zehntneri																		AY163698																														
Marsdenia philippinensis																																													AM980872			
Lepiniopsis trilocularis																																	AM295081															
Orthosia meridensis																		HE611721																														
Orthosia pearcei																		HE611723																														
Orthosia calycina																		HE611716																														
Orthosia latipes																		HE611706																														
Orthosia thymifolia																		HE611735																														
Orthosia virgata																		HE611736																														
Orthosia bonplandiana																		HE611713																														
Orthosia pubescens																		HE611724																														
Orthosia congesta																		HE611717																														
Orthosia woodii																		HE611737																														
Epistemma rupestre																														DQ916847																		
Vahadenia caillei																																	AJ419766															
Myriopteron paniculatum																														DQ916853																		
Oxystelma bornouense																		AJ290881																														
Plumeria inodora																																	X91767															
Cionura erecta																		AJ410174																														
Telosma africana																		AM233380																														
Telosma accedens																		AJ431783																														
Telosma pallida																																	JQ933500															
Telosma procumbens																																													AM980874			
Streptocaulon kleinii																														JQ086329																		
Ceropegia linearis																		AM491575																														
Ceropegia aristolochioides																		AM491535																														
Pachycarpus spurius																		AY163716																														
Ochrosia grandiflora																														AB331879																		
Ditassa subtrivialis																		AJ428754																														
Stomatostemma pendulina																														DQ916864																		
Batesanthus purpureus																														DQ916836																		
Dictyophleba lucida														EU675559	EU675601									EU675528									X91762															
Condylocarpon guyanense																																	AM295080															
Alyxia sinensis																																	EU916741															
Pachypodium rosulatum																																	AM234839															
Cynanchum leucanthum																		AJ428655																														
Cynanchum tunicatum																																	EU196271															
Cynanchum acidum																																	EU196287															
Cynanchum lineare																		AJ428662																														
Cynanchum chinense																																													GU951533			
Cynanchum callialatum																																	EU196270															
Cynanchum compactum																		AJ290843																														
Cynanchum bungei																																													GU479037			
Cryptolepis delagoensis																														DQ916840																		
Cryptolepis hypoglauca																														DQ916841																		
Catharanthus trichophyllus																																														DQ485194		
Dregea abyssinica																																	JQ933311															
Secamone emetica																																	EU196290															
Secamone parvifolia											Z98183																																					
Parsonsia heterophylla																																	AJ002888															
Heterostemma tanjorense																																	EU196278															
Heterostemma cuspidatum																		AJ574829																														
Asclepias asperula																																	JN796932															
Raphistemma pulchellum																																	JQ933462															
Gongronema wallichii																		AJ431747																														
Decalepis hamiltonii																																	EU196272															
Gymnema montanum	JX569772																																															
Gymnema elegans	JX569774																																															
Baroniella camptocarpoides																														DQ916834																		
Tabernaemontana orientalis																																	FJ976176															
Rauvolfia macrantha																						HQ638251																										
Atherandra acuminata																														DQ916833																		
Sarcolobus retusus																																													AM980875			
Glossostelma spathulatum																		AY163686																														
Wattakaka volubilis																																	EU196296															
Wattakaka lanceolata																																	EU196297															
Hoya polystachya																										AF506173																						
Hoya solaniflora																	HQ327617																															
Hoya globulosa																	HQ327674																															
Hoya incrassata																	HQ327636																															
Hoya inflata																	HQ327618																															
Hoya diversifolia																										AF506160																						
Hoya pottsii																	HQ327655																															
Hoya darwinii																	HQ327670																															
Hoya glabra																										AF506162																						
Hoya longifolia																	HQ327652																															
Hoya acuta																	HQ327641																															
Hoya limoniaca																										AF506165																						
Hoya verticillata																										AF506175																						
Hoya pentaphlebia																										AF506172																						
Hoya crassipes																										AF506157																						
Hoya cardiophylla																										AF506154																						
Hoya loheri																										AF506166																						
Hoya manipurensis																	HQ327628																															
Hoya nicholsoniae																										AF506170																						
Hoya wightii																																	EU196281															
Hoya davidcummingii																	HQ327653																															
Hoya obovata																										AF506171																						
Socotrella dolichocnema																																													GQ258745			
Parquetina nigrescens																																	X91777															
Periploca nigrescens																														DQ916859																		
Neisosperma sevenetii																														AB331883																		
Sarcostemma intermedium																																	EU196288															
Buckollia volubilis																														DQ916837																		
Ancylobotrys petersiana																																	AJ419732															
Raphionacme lobulata																														DQ916862																		
Kopsia arborea																														AB331855																		
Kopsia flavida																														AB331856																		
Carissa haematocarpa																																	JQ014161															
Baseonema gregorii																														DQ916835																		
Cerbera floribunda																																	JF739129															
Triodoglossum abyssinicum											Z98180																																					
Omphalogonus calophyllus																														DQ916854																		
Seshagiria sahyadrica																																	EU196291															
Funastrum elegans																		AJ290867																														
Funastrum gracile																		AJ492148																														
Funastrum peninsulare																		AJ428764																														
Funastrum utahense																		AJ428767																														
Microloma sagittatum																		AJ410218																														
Wrightia tinctoria											GQ220745																																					
Wrightia laevis																																	JF739066															
Alstonia brassii																																	FJ976117															
Cameraria latifolia																																	AJ419737															
Graphistemma pictum																																	EU196275															
Stephanotis grandiflora													HQ327688					HQ327494																														
Margaretta rosea									AM295586									AM295587																														
Dactylostelma boliviense																		AJ704340																						AJ704341								
Echidnopsis urceolata																																												AJ810960	DQ469552			
Echidnopsis planiflora																																												AJ810949	DQ469542			
Echidnopsis globosa																																												AJ810972	DQ469534			
Echidnopsis bentii																																												AJ810968	DQ469526			
Echidnopsis insularis																																												AJ810954	DQ469536			
Echidnopsis mijerteina																																												AJ810970	DQ469540			
Echidnopsis fartaqensis																																												AJ810973	DQ469533			
