Elytropus chilensis																						GU901339																																																				EF456228																									EF456445																																																						
Quaqua linearis																								HM475402																																																		HM475512																																									HM475467																																						
Pentopetia grevei																																																																		DQ916897								AJ581803		AJ581681																																																																													
Tarenna drummondii																				AJ286712						EU821635																																																AY555097																																																																															
Dewevrella cochliostema																						GU901336																																																				GU901314																									GU901316																																																						
Faramea crassifolia																										HM042567																																																HM042587		HM042456																																																																													
Faramea torquata																										HM042568																																																HM042588		HM042455																																																																													
Cubanola daphnoides																										AF242935																																																GQ852489		GQ852122																																																																													
Amphineurion marginatum																						GU901323																																																				EF456125																									EF456491																																																						
Marsdenia billardierei																																																																										HQ327497	HQ327691																																								HQ327612																																						
Gentianella angustiflora																																																																										AJ408004		AJ294652			AJ406356																																																																										
Gentianella aurea																																																																										AF102431		AJ294655			AJ406357																																																																										
Gentianella germanica																																																																										X77885		AJ294669			AJ406363																																																																										
Gentianella turkestanorum																																																																										EU370937		AJ294629																																																																		EU370944											
Gentianella amarella																																																																										GQ245002		AJ294649			AJ406355																																																																										
Gentianella aspera																																																																										X77872		AJ580560			AJ295335																																																																										
Gentianella moorcroftiana																																																																										AJ408007		AJ294675			AJ406366																																																																										
Gentianella foliosa																																																																										AJ315190		AJ410317																																		AJ315284																																											
Gentianella quinquefolia																																																																										EU834123		AJ294620			AJ406369																																																																										
Gentianella azurea																																																																										AJ408006		AF346014			AJ406359																																																																										
Gentianella umbellata																																																																										AJ315272		Z48132																																		AJ315320																																											
Gentianella propinqua																																																																										GQ245005		JN999236			AJ406368																																																																										
Gentianella bellidifolia																																																																										AF102401		AJ294599			AJ388232																																																																										
Halenia brevicornis																																																																										AJ315192																																				AJ315286																													AJ411714														
Halenia weddelliana																																																																										AJ315194																																				AJ315288																													AJ410321														
Halenia palmeri																																																																										AF102437					AJ388239																																																												AJ294692														
Halenia elliptica																																																																										AJ315239																																				AJ315287																													AJ410320														
Spongiosperma macrophyllum																																																																																		GU974087																	GU974179												GU974263																																										
Dolianthus vaccinioides			JN643218																							AF410685																																																JN643389																																																																															
Saprosma foetens																										DQ662218																																																DQ662168		FJ695460																																																																													
Saprosma fruticosa																										FJ695277																																																DQ662169		FJ695461																																																																													
Tinadendron noumeanum																				GQ852362																																																						GQ852563	GQ852097																																																																														
Ichnocarpus frutescens																						GU901356																																																				EF456136																									EF456490																																																						
Edithcolea grandis																								HM475398																																																		AJ488389																																									HM475460																																						
Rovaeanthus suffrutescens																										GQ852442																																																GQ852551	GQ852082																																																																														
Rovaeanthus strigosus																										GQ852441																																																GQ852550	GQ852081																																																																														
Apocynum androsaemifolium																						GU901328																																																				EF456130																		AF209529																																																													
Hedyotis effusa																																																																												JF699935																																																																				AM932940					JF700010				
Hedyotis lawsoniae																																																																												AM939455																																																																			AM931931	AM932943									
Hedyotis swertioides																										EU543031																																																EU543105		AM939460																																																																													
Hedyotis korrorensis																																																																										EU543099		AM939454																																																																				AM932942									
Hedyotis macrostegia																										AF002767																																																AF152620		AM942768																																																																													
Cicendia quadrangularis																																																																										AF102404		AY251682				AY251712																																																																									
Cicendia filiformis																																																																										AF102403		AJ011463				AJ011473																																																																									
Asperula setosa															GU357246		GU357374																																																									GU357116																																																																															
Asperula orientalis																GU357245	GU357373																																																									GU357115																																																																															
Asperula albovii															GU357269		GU357396																																																									GU357139																																																																															
Asperula arvensis																GU357244	GU357372																																																									GU357114																																																																															
Asperula molluginoides																GU357270	GU357397																																																									GU357140																																																																															
Asperula taurina																GU357242	GU357370																																																									GU357112																																																																															
Asperula glomerata															GU357268		GU357395																																																									GU357138																																																																															
Mondia whitei																																																																		DQ916896								AJ581802		AJ581679																																																																													
Ixanthus viscosus																																																																										AF102443		AY251683				AJ011481																																																																									
Crawfurdia speciosa																																																																										AJ512340		GU251021			AJ011441																																																																										
Chlorochorion monticola																										AM266824																																																AM266913		AM267000																																																																													
Chlorochorion foetidum																										AM266823																																																AM266912		AM266999																																																																													
Caralluma awdeliana																								HM475359																																																		HM475476																																									HM475414																																						
Caralluma solenophora																								HM475388																																																		HM475496																																									HM475444																																						
Caralluma tuberculata																								HM475393																																																		AJ488320																																									HM475449																																						
Caralluma sarkariae																								HM475385																																																		EU267102																																									HM475441																																						
Caralluma diffusa																								HM475365																																																		HM475481																																									HM475420																																						
Caralluma hexagona																								HM475373																																																		AJ488404																																									HM475429																																						
