taxon	PHOT2	trnL-trnF-intergenic-spacer	psaB	unknown	pentatricopeptide-repeat-containing-protein-11	pentatricopeptide-repeat-containing-protein-123	rbcL	rpoc1	trnY	unknown.1	rbcL.1	atpF	ccsA	rbcL.2	5.8S-ribosomal-RNA	matK	rps16	rpl32	rps16-trnQ-intergenic-spacer	unknown.2	psbA	ndhF	trnS	trnG	trnL	
Stachytarpheta jamaicensis							JQ594434									JQ589484						HM216778			HM216672	
Citharexylum caudatum											HM446776				GQ470548	HM446671					HM446907					
Priva lappulacea							JQ594406									JQ589460						HM216771			HM216664	
Hierobotana inflata													HM853834	HM853900		HM853867						HM216729			HM216628	
Rhaphithamnus spinosus							U32160								DQ070743		JN686547					L36409			FJ870056	
Lippia salsa									EF583171						FJ867399								EF576716	EF583118	EF571569	
Junellia fasciculata									FJ867472						FJ867447								FJ867491	FJ867514	FJ867528	
Junellia hookeriana									FJ867471						FJ867448								FJ867495	FJ867510	FJ867527	
Junellia connatibracteata									EF583161						FJ867453								EF576706	EF583108	EF571559	
Junellia selaginoides									FJ867485						FJ867463								FJ867505	FJ867518	FJ867541	
Junellia minima									EF583162						FJ867454								EF576707	EF583109	EF571560	
Junellia ulicina									FJ867480						FJ867469								FJ867497	FJ867519	FJ867535	
Junellia micrantha									FJ867482						FJ867462								FJ867498	FJ867524	FJ867537	
Junellia caespitosa									FJ867481						FJ867466								FJ867500	FJ867520	FJ867536	
Glandularia cheitmaniana									FJ867474						FJ867444								FJ867493	FJ867508	FJ867530	
Glandularia peruviana									FJ867477						FJ867445								FJ867490	FJ867512	FJ867533	
Glandularia scrobiculata									FJ867475						FJ867446								FJ867492	FJ867513	FJ867531	
Glandularia mendocina									EF583153						FJ867422								EF576698	EF583100	EF571551	
Bouchea prismatica							JQ594367								DQ070726	JQ589421	JN686545					JN686633				
Verbena stricta				EU791336			HQ590319	HQ594173				HQ594914				HQ593486										
Baillonia amabilis													HM853846	HM853912		HM853880						HM216691			HM216595	
Junellia pappigera									FJ867478						FJ867449							HM216731	FJ867496	FJ867515	FJ867544	
Glandularia chiricahensis									EF583148						FJ867436							HM216724	EF576693	EF583095	EF571546	
Parodianthus ilicifolius													HM853851		DQ463786	HM853885						HM216762			HM216653	
Citharexylum fruticosum											HM446777				AY928521	HM446672					HM446908	HM216704			HM216610	
Aloysia lycioides					JX966655	JX966751				JX966797								JX966850	JX966904							
Aloysia herrerae					JX966654	JX966750				JX966796								JX966849	JX966903							
Aloysia barbata					JX966652	JX966748				JX966794								JX966847	JX966901							
Recordia boliviana													HM853855	HM853919		HM853888						HM216772			HM216665	
Lantana microcephala					JX966667	JX966763				JX966812								JX966865	JX966919							
Lantana viburnoides					JX966671	JX966767				JX966816								JX966869	JX966923							
Lantana montevidensis					JX966668	JX966764				JX966813								JX966866	JX966920							
Lantana fucata					JX966663	JX966759				JX966808								JX966861	JX966915							
Lantana cujabensis					JX966662	JX966758				JX966807								JX966860	JX966914							
Lantana macropoda					JX966665	JX966761				JX966810								JX966863	JX966917							
Lippia rhodocnemis					JX966687	JX966783				JX966833								JX966886	JX966940							
Lippia duartei					JX966676	JX966772				JX966821								JX966874	JX966928							
Lippia aristata					JX966673	JX966769				JX966818								JX966871	JX966925							
Lippia micromera					JX966683	JX966779				JX966829								JX966882	JX966936							
Lippia hederifolia					JX966678	JX966774				JX966824								JX966877	JX966931							
Lippia brasiliensis					JX966674	JX966770				JX966819								JX966872	JX966926							
Lippia velutina					JX966692	JX966788				JX966838								JX966891	JX966945							
Lippia integrifolia													HM853827	HM853893		HM853860						HM216749			HM216643	
Lippia pusilla					JX966685	JX966781				JX966831								JX966884	JX966938							
Junellia tridens									FJ867487						DQ070738		JN686512					JN686618	FJ867501	FJ867516	FJ867543	
Glandularia parodii	EU547416								EF583152														EF576697	EF583099	EF571550	
Aloysia macrostachya					JX966656	JX966752				JX966798					AY178652			JX966851	JX966905							
Lantana urticoides					JX966664	JX966760				JX966809					AY178664			JX966862	JX966916							
Rehdera trinervis											JQ594408		HM853848	HM853914	DQ070728	HM853882						HM216774			HM216667	
Lippia rehmannii					JX966686	JX966782				JX966832								JX966885	JX966939			HM216751			HM216645	
Acantholippia seriphioides					JX966651	JX966747				JX966793					DQ070741			JX966846	JX966900							
Glandularia aristigera	EU547397								EF583159						FJ867423								EF576704	EF583106	EF571557	
Glandularia guaranitica	EU547418								EF583140						FJ867433								EF576685	EF583087	EF571538	
Duranta erecta							JF265401	GQ436057					GQ435653		AF477782	GQ434145					GQ435186	HM216717			HM216623	
Diostea juncea													HM853841	HM853907	DQ070740	HM853875						HM216715			HM216621	
Verbena lasiostachys	EU547371								EF583125						FJ867417								EF576670	EF583072	EF571523	
Verbena menthifolia	EU547373								EF583129						FJ867413								EF576674	EF583076	EF571527	
Lippia turbinata					JX966691	JX966787				JX966837								JX966890	JX966944			HM216753			HM216647	
Lippia hermannioides					JX966679	JX966775				JX966825								JX966878	JX966932	AY945820					AY945833	
Lippia diamantinensis					JX966675	JX966771				JX966820								JX966873	JX966927	AY945816					AY945829	
Lippia rotundifolia					JX966688	JX966784				JX966834								JX966887	JX966941	AY945824					AY945836	
Lippia origanoides		EU761125	EU761108		JX966684	JX966780				JX966830								JX966883	JX966937							
Lippia macrophylla					JX966682	JX966778				JX966828							JN686549	JX966881	JX966935			JN686637				
Lippia rubella					JX966689	JX966785				JX966835								JX966888	JX966942	AY945825					AY945837	
Lippia filifolia					JX966677	JX966773				JX966823								JX966876	JX966930	AY945817					AY945830	
Lippia lupulina					JX966681	JX966777				JX966827								JX966880	JX966934	AY945821					AY945834	
Junellia crithmifolia	EU547433								EF583160						FJ867443							HM216730	EF576705	EF583107	EF571558	
Glandularia tenera	EU547424								EF583158						FJ867431							HM216728	EF576703	EF583105	EF571556	
Glandularia aurantiaca	EU547417								EF583156						FJ867426							HM216722	EF576701	EF583103	EF571554	
Phyla lanceolata							AF206810						HM853828	HM853894		HM853861						HM216766			HM216659	
Coelocarpum swinglei					JX966659	JX966755				JX966802								JX966855	JX966909			HM216713			HM216619	
Petrea kohautiana							HQ384877									HQ384509	HQ385153					HQ384824			HM216654	
Petrea racemosa					FJ549112	FJ549290	U28879									FN773552	FN794104					AY919283			FN794069	
Lantana rugosa					JX966669	JX966765				JX966814	JF265500					JF270847		JX966867	JX966921			HM216743			HM216637	
Lantana micrantha					JX966666	JX966762				JX966811					HM120854			JX966864	JX966918			HM216742			HM216636	
Junellia juniperina									EF583166				HM853836	HM853902	FJ867455	HM853869							EF576711	EF583112	EF571563	
Glandularia araucana					FJ549084	FJ549262			EF583157						FJ867430								EF576702	EF583104	EF571555	
Casselia glaziovii						FJ549291							HM853849	HM853915		HM853883						HM216698			HM216603	
Nashia inaguensis					JX966693	JX966789				JX966839					DQ070737			JX966892	JX966946			HM216759			HM216650	
Citharexylum berlandieri							HQ384876									HQ384507	HQ385151					HM216703			HM216609	
Petrea volubilis							U28880	FJ038829					HM853856	HM853920	DQ070732	JQ589454					FJ039088	FJ887872			HM216655	
Lantana trifolia					JX966670	JX966766				JX966815	JQ594392					JQ589443		JX966868	JX966922			HM216745			HM216639	
Lippia javanica					JX966680	JX966776				JX966826	JQ025061					JF270850		JX966879	JX966933			HM216750			HM216644	
Junellia succulentifolia					JX966660	JX966756				JX966804					FJ867461			JX966857	JX966911				FJ867503	FJ867517	FJ867540	
Duranta serratifolia					FJ549111	FJ549289							HM853854			HM853870						HM216719			HM216625	
Lippia alba		EU761130	EU761095		JX966672	JX966768				JX966817					EU761078			JX966870	JX966924	AY945814					AY945827	
Glandularia subincana	EU547399				FJ549086	FJ549264			EF583141						FJ867442								EF576686	EF583088	EF571539	
Phyla nodiflora					JX966694	JX966790				JX966841					HM194098	FN773553	JN686546	JX966894	JX966948			JN686634			FN794070	
Lampayo castellani					FJ549100	FJ549278							HM853840	HM853906		HM853874						HM216736			HM216630	
Citharexylum ligustrinum					FJ549106	FJ549284							HM853847	HM853913		HM853881						HM216708			HM216614	
Verbena hispida	EU547395				FJ549077	FJ549255			FJ867470						FJ867402								FJ867488	FJ867507	FJ867526	
Verbena orcuttiana	EU547372				FJ549069	FJ549247			EF583132						FJ867406								EF576677	EF583079	EF571530	
Verbena perennis	EU547379				FJ549070	FJ549248			EF583130						FJ867411								EF576675	EF583077	EF571528	
Tamonea boxiana					FJ549105	FJ549283							HM853850	HM853916		HM853884						HM216780			HM216674	
Mulguraea asparagoides	EU547436				FJ549092	FJ549270			EF583169						FJ867458							HM216756	EF576714	EF583116	EF571567	
Glandularia flava	EU547421				FJ549085	FJ549263			EF583155						FJ867428								EF576700	EF583102	EF571553	
Glandularia bipinnatifida	EU547408			EU791341					EF583137						AY904021		JN686548		JN686590		JN686610	HM216723	EF576682	EF583084	EF571535	
Bouchea fluminensis					FJ549110	FJ549288	U32162						HM853852	HM853917		HM853886						HM216693			HM216597	
Verbena canescens	EU547380				FJ549075	FJ549253			EF583135						FJ867412								EF576680	EF583082	EF571533	
Verbena halei	EU547367				FJ549073	FJ549251			EF583136						AY928528								EF576681	EF583083	EF571534	
Verbena macdougalii	EU547382				FJ549072	FJ549250			EF583134						AY904019								EF576679	EF583081	EF571532	
Verbena montevidensis	EU547386				FJ549079	FJ549257			EF583123						FJ867405							HM216788	EF576668	EF583070	EF571521	
Mulguraea scoparia	EU547434				FJ549093	FJ549271			EF583168						FJ867457							HM216758	EF576713	EF583115	EF571566	
Aloysia citrodora					JX966653	JX966749				JX966795			HM853832	HM853898		HM853865		JX966848	JX966902			HM216685			HM216589	
Lantana canescens					FJ549096	FJ549274				JX966806				HM853890		HM853857		JX966859	JX966913			HM216740			HM216634	
Lippia salviifolia					JX966690	JX966786				JX966836			HM853825	HM853891		HM853858		JX966889	JX966943			HM216752			HM216646	
Junellia spathulata	EU547431				FJ549089	FJ549267			EF583167						FJ867456							HM216733	EF576712	EF583114	EF571565	
Junellia seriphioides	EU547427				FJ549090	FJ549268			EF583163						FJ867452							HM216732	EF576708	EF583110	EF571561	
Junellia uniflora	EU547429				FJ549091	FJ549269			EF583164						FJ867451							HM216735	EF576709	EF583111	EF571562	
Acantholippia salsoloides					JX966650	JX966746				JX966792			HM853831	HM853897		HM853864		JX966845	JX966899			HM216682			HM216586	
Glandularia dissecta	EU547414				FJ549087	FJ549265			EF583138						FJ867419							HM216725	EF576683	EF583085	EF571536	
Glandularia incisa	EU547420				FJ549088	FJ549266			EF583139						FJ867420							HM216726	EF576684	EF583086	EF571537	
Verbena intermedia	EU547391				FJ549081	FJ549259			EF583124						FJ867400							HM216785	EF576669	EF583071	EF571522	
Verbena urticifolia	EU547369						HQ590320	HQ594174	EF583126			HQ594915			DQ006043	HQ593487					DQ006231	HM216791	EF576671	EF583073	AY008822	
Phyla dulcis		EU761160	EU761120		FJ549095	FJ549273				JX966822					EU761079			JX966875	JX966929			HM216748			HM216642	
Citharexylum montevidense					FJ549107	FJ549285				JX966801			HM853845	HM853911		HM853879		JX966854	JX966908			HM216710			HM216616	
Verbena litoralis	EU547389				FJ549080	FJ549258	JQ594444		EF583122						FJ867404	JQ589493						HM216786	EF576667	EF583069	EF571520	
Rhaphithamnus venustus					FJ549104	FJ549282				JX966843			HM853842	HM853908		HM853876		JX966896	JX966950			HM216775			HM216668	
Glandularia microphylla	EU547426				FJ549083	FJ549261			EF583154				HM853835	HM853901	FJ867432	HM853868						HM216727	EF576699	EF583101	EF571552	
Dipyrena glaberrima					FJ549099	FJ549277				JX966803			HM853838	HM853904		HM853872		JX966856	JX966910			HM216716			HM216622	
Verbena bonariensis	EU547383			EU791339	FJ549078	FJ549256	L14412		EF583120						FJ867401	HM850973						HM216782	EF576665	EF583067	EF571518	
Priva cordifolia					FJ549103	FJ549281				JX966842			HM853843	HM853909		HM853877		JX966895	JX966949			HM216770			HM216663	
Neosparton ephedroides					FJ549101	FJ549279				JX966840			HM853839	HM853905		HM853873		JX966893	JX966947			HM216761			HM216652	
Xeroaloysia ovatifolia					FJ549097	FJ549275				JX966844			HM853829	HM853895	DQ463785	HM853862		JX966898	JX966952			HM216792			HM216678	
Mulguraea aspera	EU547439				FJ549094	FJ549272			EF583170				HM853837	HM853903	FJ867459	HM853871						HM216757	EF576715	EF583117	EF571568	
Verbena hastata	EU547375			EU791335	FJ549076	FJ549254	HQ590318	HQ594172	EF583133			HQ594913			FJ867415	HQ593485						HM216784	EF576678	EF583080	EF571531	
Verbena rigida	EU547392			EU791337	FJ549082	FJ549260	HM850445		EF583121						AY178663	HM850975	AJ431065					HM216790	EF576666	EF583068	EF571519	
Stachytarpheta cayennensis					FJ549108	FJ549287	JQ594418						HM853853	HM853918	DQ070736	JQ589468	AJ299259					HM216776			AY008823	
Aloysia virgata					JX966657	FJ549276			EF583172	JX966799			HM853830	HM853896	FJ867398	HM853863		JX966852	JX966906			HM216689	EF576717	EF583119	EF571570	
Lantana camara					JX966661	JX966757	HM850104	GQ429086		JX966805	JF265499		HM853826	HM853892	AF437860	JQ589436	EU348856	JX966858	JX966912		GQ429115	HM216739			HM216633	
Verbena bracteata	EU547381				FJ549071	FJ549249	HQ384875		EF583128						AY178662	HQ384506	HQ385150					L36418	EF576673	EF583075	EF571526	
Verbena officinalis	EU547370			EU791332	FJ549074	FJ549252	HE963723	GQ436058	EF583127				GQ435654	HM853899	AF477793	JN894308	AF225295	JX966897	JX966951		GQ435188	HM216789	EF576672	EF583074	EF571525	
