taxon	atpB	atp1	intergenic-region-between-atpB-and-rbcL	trnH-psbA-intergenic-spacer	rps16	matK	rpoC1	trnL	internal-transcribed-spacer-1,-ITS1	internal-transcribed-spacer-1,-ITS1.1	internal-transcribed-spacer-1,-ITS1.2	trnG-trnS-intergenic-spacer	unknown	Xdh	trnS	nad5	rps3	fatty-acid-delta-6-desaturase	DEF	CpAP3b	matR	trnG	rbcL	rps16-trnK-intergenic-spacer	rbcL.1	rps4	trnH-psbA-intergenic-spacer.1	contains-trnD-trnY-intergenic-spacer,-tRNA-Tyr-(trnY),-trnY-trnE-intergenic-spacer,-tRNA-Glu-(trnE),-and-trnE-trnT-intergenic-spacer	trnS-trnG-intergenic-spacer	psbD-trnT-intergenic-spacer	ndhF-rpl32-intergenic-spacer	unknown.1	rpl16	contains-trnS-trnG-intergenic-spacer	trnT	trnY	trnS-trnG-intergenic-spacer.1	trnT-trnL-intergenic-spacer	trnL-trnF-intergenic-spacer	ndhF	18S-ribosomal-RNA	rpl20-rps12-intergenic-spacer	unknown.2	26S-ribosomal-RNA	5.8S-ribosomal-RNA	
Cyclamen repandum								AJ237004																																						
Cyclamen fatrense																												JF505148																		
Samolus caespitosus								HQ284072																																						
Maesa dependens																							JQ667438																							
Maesa indica																																													JQ436585	
Maesa ternata																							U96650																							
Androsace studiosorum								AY274946																																						
Androsace umbellata								AY545785																																						
Androsace tapete																																													AY545750	
Androsace paxiana																																													AF323705	
Androsace lactiflora																																													AY275075	
Androsace tanggulashanensis								AY545772																																						
Parathesis cubana																							AF213814																							
Primula schlagintweitiana								EU326086																																						
Primula kawasimae																																													AM920467	
Primula kaufmanniana																																													AM920489	
Primula conjugens								AJ237009																																						
Primula fistulosa																																													AM920473	
Primula tanneri																																	DQ378479													
Primula heterochroma								AY274940																																						
Primula mazurenkoae																																													AM920471	
Primula saxatilis																																													AM920487	
Primula macrophylla								EU326085																																						
Primula carniolica																																													AJ427769	
Primula pallasii																																													AM920482	
Primula pumila								GQ245346																																						
Primula fauriei																																													AM920468	
Primula ruprechtii																																													AM920480	
Primula concinna																																	AF402491													
Primula albenensis																																													AJ427751	
Primula macrocalyx																																													AM920481	
Primula turkestanica																																													AM920492	
Primula botschantzevii																																													AM920490	
Primula ranunculoides																																													HQ199867	
Primula patens																																													AM920485	
Primula recubariensis																																													AJ427793	
Primula xanthobasis																																													AM920494	
Primula poloninensis																																													AM920483	
Embelia cotinoides																							JF738675																							
Myrsine platystigma																																													JF950794	
Myrsine porosa																							JN564316																							
Myrsine achradifolia																							JN564311																							
Myrsine myrtillina																																													JF950793	
Myrsine mccomishii																																													JF950790	
Omphalogramma elwesianum																							AF395001																							
Rapanea leucantha																																													DQ499107	
Rapanea ferruginea																							Z80204																							
Rapanea howittiana																																													DQ499108	
Douglasia alaskana																																													AF260774	
Lysimachia rubinervis																																													FJ529520	
Lysimachia remyi								AF547784																																						
Lysimachia leschenaultii																																								AY839957						
Lysimachia taiwaniana																																													AB496969	
Lysimachia ohsumiensis																																													AB496973	
Lysimachia stenosepala																																													FJ362385	
Lysimachia ruhmeriana																																								AY839980						
Lysimachia chingshuiensis																																													AB496963	
Lysimachia stellarioides																																													FJ362384	
Lysimachia pterantha																																								AY839996						
Lysimachia tanakae																																													AB496965	
Lysimachia peduncularis																																								AY840004						
Lysimachia hybrida																																								AY839981						
Lysimachia africana																																								AY839979						
Lysimachia remota																																								AY839962						
Lysimachia terrestris																																								AY839994						
Lysimachia ardisioides																																								AY840000						
Lysimachia ramosa																																								AY839974						
Lysimachia liukiuensis																																													AB496967	
Lysimachia quadriflora																																								AY839975						
Lysimachia andina																																								AY839991						
Clavija weberbaueri								AY228608																																						
Soldanella oreodoxa																																													AJ306349	
Soldanella chrysosticta																																													AJ306331	
Soldanella hungarica																																													AJ306333	
Soldanella carpatica																																													AJ306328	
Soldanella angusta																																													AJ306326	
Soldanella rhodopaea																																													AJ306359	
Soldanella calabrella																																													AJ306327	
Soldanella major																																													AJ306334	
Soldanella marmarossiensis																																													AJ306340	
Soldanella pindicola																																													AJ306350	
Soldanella rugosa																																													AJ306360	
Cortusa altaica																																													AM920491	
Anagallis serpyllifolia																																													AY855154	
Ardisia aberrans																																													JN645198	
Ardisia lanceolata																							JF739157																							
Ardisia linangensis																																													JN645197	
Ardisia imperialis																							JF738460																							
Ardisia wedelii																							JQ592924																							
Ardisia gigantifolia								AF547795																																						
Ardisia cornudentata																																													AM777866	
Ardisia compressa						JQ588459																																								
Ardisia depressa																																													JN645199	
Hymenandra sordida																							JQ592921																							
Elingamita johnsonii														EU264358									Z83145																							
Deherainia smaragdina								AY228602																																AY228584						
