taxon	matK	trnL	unknown	contains-5S-ribosomal-RNA-and-nontranscribed-spacer	contains-5S-ribosomal-RNA-and-nontranscribed-spacer.1	trnS-trnG-intergenic-spacer	5.8S-ribosomal-RNA	internal-transcribed-spacer-2,-ITS-2	unknown.1	matK.1	matK.2	matK.3	trnV	rpl16	5S-ribosomal-RNA-non-transcribed-spacer;-5S-NTS	rpoC1	contains-PsaB-(psaB),-psaB-trnH-intergenic-spacer,-and-tRNA-His-(trnH)	contains-5S-ribosomal-RNA-and-5S-ribosomal-RNA-non-transcribed-spacer	rps8	ncpGS	trnH-psbA-intergenic-spacer	unknown.2	rbcL	internal-transcribed-spacer-1,-ITS1	rpl32-trnL(UAG)-intergenic-spacer;-may-also-contain-rpl32-gene	trnF	rps4	RPB2-d	unknown.3	ndhF	ndhF.1	trnL.1	internal-transcribed-spacer-2,-ITS2	unknown.4	unknown.5	atp1	ndhF.2	18S-ribosomal-RNA	atpB	atpB-rbcL-intergenic-spacer	rpl16.1	rpl20-rps12-intergenic-spacer	contains-5S-ribosomal-RNA-and-non-transcribed-spacer	unknown.6	unknown.7	unknown.8	5S-ribosomal-RNA-non-transcribed-spacer;-5S-NTS.1	trnS-Yfc9-intergenic-spacer	
Gentiana aristata																						Z48116																											
Gentiana douglasiana																					HM460871																												
Gentiana fremontii																					HM460875																												
Gentiana ciliata																																X77878																	
Gentiana szechenyii																																									DQ317484								
Gentiana glauca																																GQ244996																	
Gentiana septemfida																																X77896																	
Gentiana heleonastes																						Z71940																											
Gentiana arisanensis																						JQ890596																											
Gentiana burseri																																X75701																	
Gentiana decorata																																								GU250981									
Gentiana montserratii																																X77887																	
Gentiana lilliputiana																						AY160218																											
Gentiana veitchiorum																						AY858677																											
Gentiana pleurogynoides																						AY136506																											
Gentiana pilosa																																X77888																	
Gentiana vernayi																						AY858670																											
Gentiana nutans																					HM460876																												
Gentiana otophoroides																						GU251027																											
Gentiana saponaria																																							JF298870										
Gentiana zekuensis																						DQ398656																											
Gentiana davidii																						JQ890597																											
Gentiana scabrida																						JQ890594																											
Metagentiana eurycolpa																						AY858673																											
Lomatogonium forrestii																						AJ306118																											
Lomatogonium spathulatum																						AJ306120																											
Voyria corymbosa																																						HQ448771											
Voyria caerulea																																						HQ448770											
Voyria aurantiaca																																						HQ448769											
Tripterospermum volubile																						AY858667																											
Tripterospermum filicaule																																AY858683																	
Chionogentias muelleriana																						AY136507																											
Chionogentias polysperes																						AY136505																											
Calolisianthus speciosus																						EU709787																											
Calolisianthus pendulus																																AF102387																	
Lisianthius axillaris							FJ232557																																										
Lisianthius glandulosus																						FJ232551																											
Lisianthius acuminatus																						FJ232566																											
Lisianthius oreopolus																						FJ232565																											
Lisianthius quichensis							FJ232561																																										
Lisianthius brevidentatus																						FJ232568																											
Lisianthius troyanus							FJ232541																																										
Lisianthius domingensis																						FJ232545																											
Lisianthius exsertus																						FJ232550																											
Lisianthius auratus																						FJ232554																											
Lisianthius umbellatus																						FJ232548																											
Lisianthius seemannii																						FJ232543																											
Lisianthius adamsii																						FJ232547																											
Lisianthius viscidiflorus							FJ232558																																										
Lisianthius cordifolius																						FJ232542																											
Lisianthius capitatus																						FJ232549																											
Potalia maguireorum																						DQ449925																											
Symbolanthus mathewsii																						EU528152																											
Symbolanthus nerioides															AY143377																																		
Symbolanthus argyreus															AY143371																																		
Symbolanthus vasculosus															AY143374																																		
Symbolanthus brittonianus															AY143376																																		
Symbolanthus macranthus															AY143375																																		
Fagraea macroscypha																						FJ232573																											
Fagraea salticola																						FJ232571																											
Fagraea gracilipes																						FJ232576																											
Comastoma pedunculatum																						AF346009																											
Comastoma stellariifolium																						AJ306081																											
Helia oblongifolia																						EU709794																											
Sebaea grisebachiana																						FJ666009																											
Sebaea ovata																						AY629184																											
Sebaea scabra																						FJ665998																											
Sebaea albidiflora																						AY629182																											
Sebaea schlechteri																																FJ014184																	
Sebaea marlothii																						FJ666008																											
Sebaea sulphurea																						FJ666001																											
Sebaea procumbens																						FJ666013																											
Adenolisianthus arboreus																						EU709784																											
Bisgoeppertia scandens																						FJ232556																											
Sabatia kennedyana																																AY437881																	
Macrocarpaea thamnoides				EU541767																																													
