taxon	trnS	trnG	trnY	trnH-trnK-intergenic-spacer	rps16	unknown	PHOT2	psaB	atpE	matK	atpF	pentatricopeptide-repeat-containing-protein-11	rps4	pentatricopeptide-repeat-containing-protein	rpoc1	unknown.1	contains-tRNA-Leu-(trnL)-gene-and-trnL-trnF-intergenic-spacer	rpoB	psbJ	rpl32	trnQ-rps16-intergenic-spacer	unknown.2	3-UFGT	DEF	matR	chalcone-synthase	similar-to-dihydroflavonol-4-reductase	flavanone-3-hydroxylase	ccsA	rbcL	phan	rbcL.1	putative-small-nuclear-ribonucleoprotein-F	putative-60S-ribosomal-protein-L38	putative-protein-kinase	hypothetical-protein	putative-oligouridylate-binding-protein	18S-rRNA	tRNA-Phe	trnT-trnL-intergenic-spacer	trnC-ycf6-intergenic-spacer	18S-ribosomal-RNA	5.8S-ribosomal-RNA	atpB	similar-to-ribulose-1,5-bisphosphate-carboxylase/oxygenase-large-subunit;-rbcL	trnH-psbA-intergenic-spacer;-may-contain-psbA	ndhF	phosphoenolpyruvate-carboxylase	
Tynanthus panurensis																	FJ870064																														DQ222644	DQ222817	
Pithecoctenium crucigerum																																											EU812818				DQ222623	DQ222790	
Buddleja saligna					AJ609203																																						AJ550578				AJ401397		
Syringa wardii		JN590988															JN591026																														JN591047		
Syringa mairei		JN590977															JN591015																														JN591036		
Rhigozum obovatum																	EF105080															AM234922															EF105020		
Stereospermum euphorioides																																							AY500429	AY500409							AY500453		
Stereospermum nematocarpum																	EF105085															JQ933491															EF105025		
Avicennia schaueriana			EF540952	EU352166																																							DQ469862						
Manaosella cordifolia																	FJ870043																														DQ222596	DQ222750	
Podranea ricasoliana																	AY695867															AF102653															DQ222628		
Osmanthus decorus																			GQ294652	GQ294668	GQ294709																												
Fernandoa madagascariensis																	EF105067																						AY500426								EF105009		
Tabebuia capitata																	EF105107															JQ625850															EF105045		
Tabebuia serratifolia																	EF105105															JQ626306															EF105043		
Jacaranda sparrei																	FJ870040															AF102647															AF102631		
Jacaranda arborea																	FJ870039															FJ870008															FJ887866		
Jacaranda copaia										JQ626519																						JQ626146														JN661798			
Chionanthus hainanensis																			GQ294642	GQ294686	GQ294693																												
Forestiera acuminata					AF225227												AF231819																										EU314903						
Forestiera neomexicana					AF225229								AM398050				AF231821																																
Dolichandra quadrivalvis																	FJ870027																														FJ887858	DQ222765	
Macrocatalpa punctata					DQ532490												DQ532487																														FJ887868		
Phyla canescens																	HM216656																										HM193965				HM216764		
Jasminum dichotomum										GU135048																						GU135210														GU135377			
Jasminum fruticans																	AY836536															DQ673297															DQ673268		
Jasminum sambac										GU135049																						GU135212														GU135379			
Stizophyllum perforatum																	FJ870057																														DQ222639	DQ222810	
Paragonia pyramidata										JQ589893																																					DQ222618	DQ222781	
Phyllarthron antongiliense																																							AY500420	AY500401							AY500441		
Argylia bustillosii																	FJ870016															FJ870007															FJ887852		
Pleonotoma jasminifolia																	FJ870053																														DQ222625	DQ222794	
Cuspidaria convoluta																	FJ870026																														DQ222573	DQ222711	
Mansoa verrucifera																	FJ870044																														DQ222604	DQ222759	
Callichlamys latifolia										JQ586991																																			JQ590796		DQ222567		
Incarvillea emodi																	AY695872															JQ933368											AY695849						
Incarvillea zhongdianensis																	FJ870038																										AY695859				FJ887865		
Arrabidaea selloi					JN686518																																										DQ222560	DQ222697	
Adenocalymma moringifolium																	FJ870011																														DQ222613	DQ222774	
